match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,5510,6938,606,30,30,10,10,Exited,None,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,15,0,0,0
1,qm,blue,1452,4964,5669,20,20,5,5,None,None,Exited,0,0,0,0,15,5,0,1,1,0,0,0,0,10,Park,None,Park,NotLevel,0,0,1,0
2,qm,red,8159,6658,4501,20,20,10,10,None,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
2,qm,blue,5634,3408,4019,54,54,18,10,None,Exited,Exited,8,0,0,2,36,11,0,1,4,0,0,0,0,25,None,Hang,None,NotLevel,0,0,0,0
3,qm,red,7455,597,3952,34,34,5,5,None,None,Exited,0,0,0,0,29,24,0,4,6,0,1,0,0,5,None,Park,None,IsLevel,0,0,3,0
3,qm,blue,5512,1515,5553,127,127,13,5,None,None,Exited,8,0,0,2,69,24,0,0,12,0,1,0,0,45,None,Park,Hang,IsLevel,45,0,0,0
4,qm,red,6904,2710,2576,102,102,23,15,Exited,Exited,Exited,8,0,0,2,79,24,0,0,12,0,1,0,0,55,Hang,Hang,Park,NotLevel,0,1,2,0
4,qm,blue,841,4123,687,122,122,40,10,None,Exited,Exited,30,0,3,3,49,19,0,1,8,0,1,0,0,30,None,Hang,Park,NotLevel,33,0,0,0
5,qm,red,980,2637,7447,35,35,15,15,Exited,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,15,1,3,0
5,qm,blue,3512,4201,1759,159,159,27,15,Exited,Exited,Exited,12,0,0,3,84,39,0,3,15,0,1,0,0,45,Park,Hang,None,IsLevel,48,0,1,0
6,qm,red,7033,5124,6000,45,45,33,15,Exited,Exited,Exited,18,1,0,4,12,2,0,0,1,0,0,0,0,10,Park,Park,None,IsLevel,0,1,0,0
6,qm,blue,4400,4999,987,116,116,26,10,None,Exited,Exited,16,0,0,4,87,52,0,2,23,0,1,0,0,35,Park,Park,Hang,NotLevel,3,0,0,0
7,qm,red,5802,1197,7051,113,113,26,10,Exited,Exited,None,16,0,0,4,81,26,0,4,7,0,1,0,0,55,Hang,Hang,Park,NotLevel,6,0,0,0
7,qm,blue,5089,4578,207,55,55,27,15,Exited,Exited,Exited,12,0,0,3,28,18,0,0,9,0,1,0,0,10,Park,Park,None,IsLevel,0,2,0,0
8,qm,red,1836,606,597,43,43,10,10,Exited,Exited,None,0,0,0,0,33,18,0,2,6,0,0,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
8,qm,blue,7185,4501,3408,80,80,36,10,None,Exited,Exited,26,0,3,2,44,14,0,2,4,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
