match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4572,230,4628,38,38,5,5,None,Exited,None,0,0,0,0,30,20,0,2,7,0,1,0,0,10,Park,Park,None,IsLevel,3,0,2,0
1,qm,blue,7760,1071,7869,109,109,26,10,None,Exited,Exited,16,2,0,3,53,3,1,0,1,0,0,0,0,50,Hang,Hang,None,NotLevel,30,1,0,0
2,qm,red,3654,3104,1099,73,73,15,15,Exited,Exited,Exited,0,0,0,0,40,0,0,0,0,0,0,0,0,40,Hang,None,None,IsLevel,18,1,0,0
2,qm,blue,237,3525,6811,43,43,17,5,Exited,None,None,12,0,0,3,23,18,0,0,9,0,1,0,0,5,None,None,Park,IsLevel,3,1,1,0
3,qm,red,2836,176,6333,97,97,34,10,None,Exited,Exited,24,0,0,6,60,15,3,0,6,0,1,0,0,45,Park,Hang,None,IsLevel,3,0,0,0
3,qm,blue,178,1124,236,54,54,5,5,None,None,Exited,0,0,0,0,49,4,4,0,0,0,0,0,0,45,Park,None,Hang,IsLevel,0,1,0,0
4,qm,red,3146,228,4557,55,55,39,15,Exited,Exited,Exited,24,0,0,6,16,11,1,0,5,0,1,0,0,5,None,Park,None,NotLevel,0,0,0,0
4,qm,blue,999,558,177,109,109,42,10,Exited,None,Exited,32,0,4,2,67,37,0,3,14,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
5,qm,red,839,4420,7314,22,22,10,10,Exited,Exited,None,0,0,0,0,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
5,qm,blue,7407,8085,5856,109,109,28,10,Exited,None,Exited,18,0,3,0,81,31,9,0,11,0,1,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
6,qm,red,7694,716,4055,78,78,37,15,Exited,Exited,Exited,22,0,1,4,41,26,2,4,6,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,1,0
6,qm,blue,8167,6346,3566,71,71,15,15,Exited,Exited,Exited,0,0,0,0,41,6,1,1,1,0,0,0,0,35,Park,Park,Hang,NotLevel,15,0,0,0
