match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4910,5734,6705,137,137,28,10,Exited,None,Exited,18,0,1,3,94,44,2,8,9,0,1,0,0,50,Hang,None,Hang,NotLevel,15,0,0,0
1,qm,blue,7470,4080,7883,12,12,5,5,None,Exited,None,0,0,0,0,7,2,2,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,1,0
2,qm,red,1311,2974,5219,77,77,28,10,None,Exited,Exited,18,0,3,0,49,39,0,11,3,0,1,0,0,10,None,Park,Park,IsLevel,0,1,3,0
2,qm,blue,1795,3815,1102,84,84,22,10,Exited,Exited,None,12,0,0,3,14,4,2,0,1,0,0,0,0,10,None,Park,Park,IsLevel,48,0,0,0
3,qm,red,6887,5632,4026,57,57,10,10,Exited,Exited,None,0,0,0,0,47,2,0,0,1,0,0,0,0,45,Park,None,Hang,IsLevel,0,1,1,0
3,qm,blue,5900,6715,8080,28,28,0,0,None,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,18,0,0,0
4,qm,red,4459,1771,5332,109,109,37,15,Exited,Exited,Exited,22,0,1,4,57,12,0,0,6,0,1,0,0,45,Park,Hang,None,IsLevel,15,0,0,0
4,qm,blue,6712,8050,8094,10,10,5,5,None,None,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,1,0
5,qm,red,4516,7449,3329,42,42,15,15,Exited,Exited,Exited,0,0,0,0,27,12,0,0,6,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
5,qm,blue,7514,3581,6341,26,26,10,10,None,Exited,Exited,0,0,0,0,16,6,6,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
6,qm,red,5608,5219,3815,40,40,15,15,Exited,Exited,Exited,0,0,0,0,25,0,0,0,0,0,0,0,0,25,None,Hang,None,NotLevel,0,1,0,0
6,qm,blue,6905,7451,4459,57,57,14,10,None,Exited,Exited,4,2,0,0,40,5,5,0,0,0,0,0,0,35,Park,Hang,Park,NotLevel,3,0,0,0
7,qm,red,3329,8094,1771,74,74,29,15,Exited,Exited,Exited,14,0,1,2,45,0,0,0,0,0,0,0,0,45,Park,None,Hang,IsLevel,0,1,1,0
7,qm,blue,6715,4516,7470,50,50,5,5,None,Exited,None,0,0,0,0,27,17,4,3,2,0,1,0,0,10,None,Park,Park,IsLevel,18,0,0,0
8,qm,red,3581,5632,6905,37,37,10,10,Exited,None,Exited,0,0,0,0,27,2,0,0,1,0,0,0,0,25,Hang,None,None,NotLevel,0,0,1,0
8,qm,blue,4910,8080,5332,92,92,39,15,Exited,Exited,Exited,24,0,0,6,38,28,0,4,8,0,1,0,0,10,Park,None,Park,IsLevel,15,0,0,0
9,qm,red,1102,6705,7451,82,82,31,15,Exited,Exited,Exited,16,2,0,3,51,16,12,0,2,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
9,qm,blue,8050,5734,2974,46,46,28,10,Exited,None,Exited,18,0,3,0,18,13,0,3,2,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
10,qm,red,6712,5608,7514,84,84,5,5,None,None,Exited,0,0,0,0,19,4,4,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,60,0,0,0
