match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,63,1675,8160,58,58,17,15,Exited,Exited,Exited,2,1,0,0,41,11,11,0,0,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
1,qm,blue,5350,5133,3734,31,31,22,10,None,Exited,Exited,12,0,0,3,9,4,0,0,2,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
2,qm,red,7411,7608,1756,115,115,18,10,Exited,None,Exited,8,0,0,2,97,32,0,0,16,0,1,0,0,65,Hang,None,Hang,IsLevel,0,0,0,0
2,qm,blue,3110,8014,4645,24,24,10,10,Exited,None,Exited,0,0,0,0,14,4,0,0,2,0,0,0,0,10,None,Park,Park,NotLevel,0,0,0,0
3,qm,red,101,1739,8029,23,23,15,15,Exited,Exited,Exited,0,0,0,0,8,3,0,1,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
3,qm,blue,111,3410,2136,113,113,30,10,Exited,None,Exited,20,0,0,5,83,43,0,3,17,0,1,0,0,40,Hang,None,None,IsLevel,0,0,0,0
4,qm,red,2039,7560,4292,50,50,15,15,Exited,Exited,Exited,0,0,0,0,35,0,0,0,0,0,0,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
4,qm,blue,2338,5822,3197,106,106,29,15,Exited,Exited,Exited,14,3,0,2,77,42,4,2,16,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
5,qm,red,4702,1781,5934,52,52,38,10,None,Exited,Exited,28,0,2,4,14,4,0,0,2,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
5,qm,blue,6381,6237,8096,74,74,25,15,Exited,Exited,Exited,10,3,0,1,34,4,0,0,2,0,0,0,0,30,Hang,Park,None,NotLevel,15,0,0,0
6,qm,red,8184,2151,5125,39,39,24,10,None,Exited,Exited,14,3,0,2,15,5,5,0,0,0,1,0,0,10,Park,None,Park,NotLevel,0,0,2,0
