match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7657,6451,4926,19,19,9,5,None,None,Exited,4,0,0,1,10,0,0,0,0,0,0,0,0,10,Park,None,Park,NotLevel,0,4,1,0
1,qm,blue,2960,868,6498,108,108,47,15,Exited,Exited,Exited,32,0,4,2,34,24,0,0,12,0,1,0,0,10,Park,None,Park,IsLevel,27,0,0,0
2,qm,red,3947,4008,7617,34,34,10,10,Exited,None,Exited,0,0,0,0,24,14,12,0,1,0,1,0,0,10,Park,None,Park,IsLevel,0,0,0,0
2,qm,blue,5188,3180,8116,20,20,16,10,Exited,Exited,None,6,0,1,0,4,4,4,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
3,qm,red,4580,1741,234,134,134,27,15,Exited,Exited,Exited,12,0,0,3,107,37,6,5,8,0,1,0,0,70,Hang,Park,Hang,IsLevel,0,0,0,0
3,qm,blue,8103,7457,1720,119,119,27,15,Exited,Exited,Exited,12,0,0,3,92,42,0,2,18,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
4,qm,red,3176,829,3487,66,66,20,10,Exited,None,Exited,10,3,0,1,28,18,8,0,5,0,1,0,0,10,None,Park,Park,IsLevel,18,0,0,0
4,qm,blue,6721,1024,4272,77,77,45,15,Exited,Exited,Exited,30,0,3,3,32,22,0,2,8,0,1,0,0,10,None,Park,Park,IsLevel,0,1,1,0
5,qm,red,3147,6956,3559,56,56,25,15,Exited,Exited,Exited,10,0,1,1,16,6,0,0,3,0,0,0,0,10,Park,None,Park,NotLevel,15,3,2,0
5,qm,blue,1747,447,292,85,85,27,15,Exited,Exited,Exited,12,0,2,0,19,19,0,1,8,0,1,0,0,0,None,None,None,NotLevel,39,0,1,0
6,qm,red,1501,7454,5188,99,99,33,15,Exited,Exited,Exited,18,1,0,4,51,41,9,2,13,0,1,0,0,10,None,Park,Park,NotLevel,15,1,0,0
6,qm,blue,5010,6498,829,59,59,11,5,Exited,None,None,6,0,1,0,45,35,0,3,13,0,1,0,0,10,Park,None,Park,NotLevel,3,0,1,0
7,qm,red,1741,2960,3147,61,61,29,15,Exited,Exited,Exited,14,0,1,2,17,7,0,1,2,0,0,0,0,10,Park,None,Park,NotLevel,15,0,0,0
7,qm,blue,4272,3176,7457,114,114,39,15,Exited,Exited,Exited,24,0,0,6,75,45,0,3,18,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,1,0
8,qm,red,5010,6956,868,62,62,20,10,Exited,None,Exited,10,0,1,1,27,12,2,0,5,0,1,0,0,15,Park,Park,Park,IsLevel,15,0,3,0
8,qm,blue,234,7454,3947,91,91,18,10,Exited,Exited,None,8,0,0,2,28,18,9,1,3,0,1,0,0,10,Park,None,Park,NotLevel,45,0,1,0
9,qm,red,6451,1024,8103,79,79,22,10,Exited,Exited,None,12,0,0,3,57,7,1,0,3,0,0,0,0,50,Hang,Park,Park,IsLevel,0,0,2,0
