match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4151,5846,69,77,77,25,15,Exited,Exited,Exited,10,0,1,1,52,2,0,0,1,0,0,0,0,50,Park,Park,Hang,IsLevel,0,0,0,0
1,qm,blue,4048,138,1757,51,51,29,15,Exited,Exited,Exited,14,2,1,1,22,12,12,0,0,0,1,0,0,10,Park,Park,None,NotLevel,0,0,0,0
2,qm,red,6329,6731,2079,56,56,23,15,Exited,Exited,Exited,8,0,0,2,33,23,0,3,7,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
2,qm,blue,7164,78,6201,78,78,22,10,Exited,Exited,None,12,0,0,3,56,11,0,1,4,0,0,0,0,45,Park,Hang,None,IsLevel,0,0,0,0
3,qm,red,6324,6529,1786,18,18,10,10,None,Exited,Exited,0,0,0,0,8,3,3,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,0,1,0
3,qm,blue,88,126,2342,126,126,49,15,Exited,Exited,Exited,34,0,1,7,62,12,0,0,6,0,1,0,0,50,Hang,Park,Park,IsLevel,15,0,0,0
4,qm,red,97,5000,1768,17,17,5,5,None,Exited,None,0,0,0,0,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
4,qm,blue,4908,121,3958,37,37,13,5,None,Exited,None,8,0,0,2,24,14,0,0,7,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
5,qm,red,4564,172,6620,112,112,32,10,Exited,Exited,None,22,0,1,4,77,27,0,1,12,0,1,0,0,50,Hang,Park,Park,IsLevel,3,0,0,0
5,qm,blue,2168,3205,246,117,117,39,15,Exited,Exited,Exited,24,0,2,3,78,48,0,2,21,0,1,0,0,30,Hang,Park,None,NotLevel,0,1,0,0
