match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,6893,8217,888,80,80,12,0,None,None,None,12,0,0,3,8,8,0,2,1,0,0,0,0,0,None,None,None,IsLevel,60,0,0,0
1,qm,blue,449,5841,2900,58,58,22,10,Exited,None,Exited,12,0,0,3,36,6,1,1,1,0,0,0,0,30,Hang,None,Park,NotLevel,0,0,4,0
2,qm,red,4514,4242,7714,24,24,19,5,Exited,None,None,14,0,1,2,5,0,0,0,0,0,0,0,0,5,Park,None,None,NotLevel,0,1,0,0
2,qm,blue,6863,5945,5338,65,65,14,10,Exited,Exited,None,4,0,0,1,48,3,0,1,0,0,0,0,0,45,None,Hang,Park,IsLevel,3,0,0,0
3,qm,red,5549,2914,8230,40,40,5,5,None,None,Exited,0,0,0,0,35,25,11,2,4,0,1,0,0,10,Park,None,Park,IsLevel,0,0,1,0
3,qm,blue,7886,1389,611,113,113,29,15,Exited,Exited,Exited,14,0,1,2,69,4,0,0,2,0,0,0,0,65,None,Hang,Hang,IsLevel,15,0,0,0
4,qm,red,8197,2537,7770,35,35,17,5,None,Exited,None,12,0,0,3,18,13,0,3,2,0,0,0,0,5,None,Park,None,IsLevel,0,1,0,0
4,qm,blue,6584,6213,2421,49,49,15,15,Exited,Exited,Exited,0,0,0,0,31,16,10,0,3,0,1,0,0,15,Park,Park,Park,IsLevel,3,0,0,0
5,qm,red,4456,2180,2534,44,44,5,5,Exited,None,None,0,0,0,0,36,6,0,0,3,0,0,0,0,30,Hang,None,Park,NotLevel,3,0,0,0
5,qm,blue,4821,3793,2819,25,25,15,15,Exited,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,1,0,0
6,qm,red,1885,2961,1389,118,118,32,10,Exited,None,Exited,22,0,1,4,71,31,0,1,14,0,1,0,0,40,None,None,Hang,IsLevel,15,0,0,0
6,qm,blue,2912,5115,5243,32,32,9,5,Exited,None,None,4,2,0,0,23,13,13,0,0,0,1,0,0,10,Park,Park,None,NotLevel,0,0,1,0
