match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,6877,7197,7222,52,52,16,10,Exited,Exited,None,6,3,0,0,36,6,6,0,0,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
1,qm,blue,4568,1023,5523,21,21,5,5,None,Exited,None,0,0,0,0,16,6,0,0,3,0,0,0,0,10,None,Park,Park,NotLevel,0,0,0,0
2,qm,red,8374,3175,6150,54,54,14,10,None,Exited,Exited,4,0,0,1,25,10,6,0,2,0,1,0,0,15,Park,Park,Park,NotLevel,15,0,1,0
2,qm,blue,8377,7219,6556,58,58,5,5,None,None,Exited,0,0,0,0,38,8,0,0,4,0,0,0,0,30,None,Hang,Park,NotLevel,15,0,1,0
3,qm,red,6092,5502,5676,131,131,22,10,None,Exited,Exited,12,0,0,3,91,26,12,0,7,0,1,0,0,65,None,Hang,Hang,IsLevel,18,0,2,0
3,qm,blue,8399,5559,5205,80,80,34,10,Exited,None,Exited,24,0,4,0,16,11,0,1,4,0,1,0,0,5,None,Park,None,IsLevel,30,6,0,0
4,qm,red,8373,8394,3655,17,17,5,5,Exited,None,None,0,0,0,0,12,2,0,0,1,0,0,0,0,10,Park,None,Park,NotLevel,0,0,0,0
4,qm,blue,8378,4216,6591,33,33,10,10,Exited,Exited,None,0,0,0,0,23,13,13,0,0,0,1,0,0,10,None,Park,Park,NotLevel,0,0,0,0
5,qm,red,5688,6138,1502,98,98,5,5,None,None,Exited,0,0,0,0,27,17,7,0,5,0,1,0,0,10,Park,None,Park,NotLevel,66,1,1,0
5,qm,blue,6580,5674,5675,137,137,42,10,Exited,None,Exited,32,0,0,8,77,42,4,0,19,0,1,0,0,35,Park,Park,Hang,NotLevel,18,2,4,0
6,qm,red,8300,7221,5530,53,53,10,10,Exited,Exited,None,0,0,0,0,28,18,13,1,1,0,1,0,0,10,Park,Park,None,NotLevel,15,0,0,0
6,qm,blue,7209,862,3773,71,71,15,15,Exited,Exited,Exited,0,0,0,0,56,26,4,0,11,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,1,0
7,qm,red,2611,8377,8393,199,199,15,15,Exited,Exited,Exited,0,0,0,0,49,14,14,0,0,0,1,0,0,35,Hang,Park,Park,NotLevel,135,2,0,0
7,qm,blue,6591,8275,6092,24,24,5,5,None,Exited,None,0,0,0,0,13,3,3,0,0,0,0,0,0,10,Park,Park,None,NotLevel,6,5,8,0
8,qm,red,5674,5559,6877,59,59,15,15,Exited,Exited,Exited,0,0,0,0,41,11,11,0,0,0,1,0,0,30,Hang,None,Park,NotLevel,3,1,3,0
8,qm,blue,8399,3655,8374,58,58,5,5,Exited,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,NotLevel,48,1,0,0
9,qm,red,4216,5530,5523,63,63,27,15,Exited,Exited,Exited,12,0,0,3,36,21,10,1,4,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
9,qm,blue,7209,6580,6138,80,80,27,15,Exited,Exited,Exited,12,0,0,3,53,3,3,0,0,0,0,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
10,qm,red,1023,5675,7221,178,178,51,15,Exited,Exited,Exited,36,0,2,6,94,29,5,2,9,0,1,0,0,65,Hang,Hang,None,IsLevel,33,0,0,0
10,qm,blue,6150,8393,8275,61,61,16,10,Exited,None,Exited,6,0,1,0,45,0,0,0,0,0,0,0,0,45,Hang,None,Park,IsLevel,0,1,2,0
11,qm,red,5676,1502,8378,92,92,25,15,Exited,Exited,Exited,10,1,0,2,55,10,1,1,3,0,0,0,0,45,Hang,None,Park,IsLevel,12,0,1,0
11,qm,blue,5205,2611,8373,129,129,35,15,Exited,Exited,Exited,20,0,2,2,79,29,19,0,5,0,1,0,0,50,Park,Hang,Park,IsLevel,15,4,0,0
12,qm,red,7197,6556,862,107,107,27,15,Exited,Exited,Exited,12,0,0,3,80,30,3,5,6,0,1,0,0,50,Park,Park,Hang,IsLevel,0,0,0,0
12,qm,blue,8394,5688,3773,43,43,10,10,Exited,None,Exited,0,0,0,0,33,3,3,0,0,0,0,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
13,qm,red,3175,8300,4568,77,77,10,10,Exited,Exited,None,0,0,0,0,22,12,0,2,3,0,0,0,0,10,Park,None,Park,IsLevel,45,0,0,0
13,qm,blue,7219,7222,5502,64,64,15,15,Exited,Exited,Exited,0,0,0,0,49,14,14,0,0,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,3,0
14,qm,red,6591,3655,7209,76,76,5,5,None,None,Exited,0,0,0,0,56,6,0,0,3,0,0,0,0,50,Hang,None,Hang,NotLevel,15,0,0,0
14,qm,blue,1502,6877,8377,29,29,7,5,Exited,None,None,2,1,0,0,22,12,12,0,0,0,1,0,0,10,None,Park,Park,IsLevel,0,0,1,0
15,qm,red,5523,8394,6150,81,81,19,15,Exited,Exited,Exited,4,0,0,1,47,2,0,0,1,0,0,0,0,45,Hang,None,Park,IsLevel,15,0,0,0
15,qm,blue,5674,8399,3773,86,86,15,15,Exited,Exited,Exited,0,0,0,0,71,6,6,0,0,0,0,0,0,65,Hang,None,Hang,IsLevel,0,0,1,0
16,qm,red,3175,6092,2611,86,86,27,15,Exited,Exited,Exited,12,2,0,2,56,21,14,1,2,0,1,0,0,35,Park,Park,Hang,NotLevel,3,0,1,0
