match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,6595,5697,5166,86,86,32,10,None,Exited,Exited,22,0,1,4,54,24,0,0,12,0,1,0,0,30,None,Hang,Park,NotLevel,0,1,1,0
1,qm,blue,5713,8400,894,55,55,19,15,Exited,Exited,Exited,4,2,0,0,18,8,8,0,0,0,1,0,0,10,None,Park,Park,IsLevel,18,0,0,0
2,qm,red,2604,5235,703,19,19,5,5,None,None,Exited,0,0,0,0,14,4,0,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,2,0,0
2,qm,blue,6067,7289,5282,92,92,14,10,Exited,None,Exited,4,0,0,1,72,2,0,0,1,0,0,0,0,70,Hang,Hang,Park,IsLevel,6,0,0,0
3,qm,red,6073,5562,6085,22,22,5,5,None,Exited,None,0,0,0,0,17,2,2,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,0,1,1,0
3,qm,blue,5524,5660,8193,117,117,29,15,Exited,Exited,Exited,14,3,0,2,70,5,5,0,0,0,1,0,0,65,None,Hang,Hang,IsLevel,18,0,0,0
4,qm,red,3667,5224,5704,73,73,10,10,Exited,Exited,None,0,0,0,0,60,10,10,0,0,0,1,0,0,50,Hang,Hang,None,NotLevel,3,0,0,0
4,qm,blue,5234,5533,5046,96,96,36,10,Exited,Exited,None,26,0,3,2,60,20,0,4,4,0,1,0,0,40,None,Hang,None,IsLevel,0,1,0,0
5,qm,red,201,5144,70,90,90,21,15,Exited,Exited,Exited,6,3,0,0,69,14,2,0,6,0,1,0,0,55,Park,Hang,Hang,NotLevel,0,2,0,0
5,qm,blue,5193,5662,322,74,74,23,15,Exited,Exited,Exited,8,0,0,2,45,0,0,0,0,0,0,0,0,45,Park,Hang,None,IsLevel,6,0,0,0
6,qm,red,7192,6618,830,146,146,31,15,Exited,Exited,Exited,16,0,0,4,91,36,0,2,15,0,1,0,0,55,Hang,Hang,Park,NotLevel,24,0,0,0
6,qm,blue,314,5517,7772,114,114,49,15,Exited,Exited,Exited,34,0,1,7,65,0,0,0,0,0,0,0,0,65,None,Hang,Hang,IsLevel,0,3,1,0
7,qm,red,503,6071,894,58,58,31,15,Exited,Exited,Exited,16,0,0,4,21,11,2,1,3,0,1,0,0,10,None,Park,Park,IsLevel,6,0,1,0
7,qm,blue,1684,3534,7289,117,117,25,15,Exited,Exited,Exited,10,0,1,1,77,12,0,0,6,0,0,0,0,65,Hang,Hang,None,IsLevel,15,2,0,0
8,qm,red,6067,5144,5235,25,25,10,10,Exited,Exited,None,0,0,0,0,12,2,2,0,0,0,0,0,0,10,Park,None,Park,IsLevel,3,0,1,0
8,qm,blue,2604,5234,6085,30,30,10,10,Exited,Exited,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,15,1,0,0
9,qm,red,5660,5046,314,137,137,32,10,Exited,None,Exited,22,3,0,4,90,25,6,1,8,0,1,0,0,65,Hang,Hang,None,IsLevel,15,0,0,0
9,qm,blue,7192,5282,5533,83,83,34,10,Exited,None,Exited,24,0,0,6,49,4,0,0,2,0,0,0,0,45,Park,None,Hang,IsLevel,0,0,1,0
10,qm,red,6073,6595,3667,70,70,10,10,Exited,None,Exited,0,0,0,0,57,7,3,0,2,0,0,0,0,50,Park,Park,Hang,IsLevel,3,0,0,0
10,qm,blue,5517,70,5704,69,69,28,10,Exited,Exited,None,18,0,1,3,41,11,3,0,4,0,1,0,0,30,Park,Hang,None,NotLevel,0,1,0,0
11,qm,red,503,5166,5193,102,102,37,15,Exited,Exited,Exited,22,0,1,4,62,32,0,2,13,0,1,0,0,30,Park,Hang,None,NotLevel,3,2,0,0
11,qm,blue,7772,3534,703,42,42,26,10,Exited,None,Exited,16,0,0,4,10,5,0,1,1,0,0,0,0,5,None,Park,None,IsLevel,6,1,0,0
12,qm,red,1684,5697,5713,59,59,18,10,Exited,None,Exited,8,0,0,2,41,16,8,0,4,0,1,0,0,25,None,Hang,None,NotLevel,0,0,2,0
12,qm,blue,5662,5224,6618,89,89,27,15,Exited,Exited,Exited,12,0,0,3,32,17,7,0,5,0,1,0,0,15,Park,Park,Park,IsLevel,30,0,0,0
13,qm,red,5562,8400,5524,94,94,15,15,Exited,Exited,Exited,0,0,0,0,19,9,9,0,0,0,1,0,0,10,None,Park,Park,IsLevel,60,0,0,0
13,qm,blue,830,201,6071,57,57,31,15,Exited,Exited,Exited,16,0,0,4,26,11,0,1,4,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,4,0
14,qm,red,322,2604,5660,113,113,16,10,None,Exited,Exited,6,3,0,0,49,9,9,0,0,0,1,0,0,40,None,None,Hang,IsLevel,48,1,0,0
14,qm,blue,8193,894,3667,73,73,33,15,Exited,Exited,Exited,18,2,1,2,37,7,7,0,0,0,1,0,0,30,Hang,None,Park,NotLevel,3,1,3,0
15,qm,red,5193,5144,5234,25,25,15,15,Exited,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
15,qm,blue,6073,5697,314,118,118,35,15,Exited,Exited,Exited,20,0,0,5,83,33,3,2,12,0,1,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
16,qm,red,6618,5533,7289,119,119,53,15,Exited,Exited,Exited,38,0,3,5,51,16,0,0,8,0,1,0,0,35,Park,Hang,Park,NotLevel,15,1,1,0
16,qm,blue,5562,830,503,108,108,29,15,Exited,Exited,Exited,14,0,1,2,61,31,0,1,14,0,1,0,0,30,None,Park,Hang,NotLevel,18,0,1,0
17,qm,red,5282,201,703,54,54,26,10,None,Exited,Exited,16,0,0,4,28,3,1,0,1,0,0,0,0,25,None,Hang,None,NotLevel,0,1,0,0
17,qm,blue,5224,1684,7772,82,82,35,15,Exited,Exited,Exited,20,0,0,5,44,14,8,0,3,0,1,0,0,30,Hang,Park,None,NotLevel,3,0,0,0
18,qm,red,8400,6085,5517,48,48,18,10,Exited,None,Exited,8,0,0,2,12,7,7,0,0,0,1,0,0,5,Park,None,None,IsLevel,18,0,1,0
18,qm,blue,5166,322,8193,121,121,22,10,Exited,None,Exited,12,0,0,3,84,19,0,1,8,0,1,0,0,65,Hang,None,Hang,IsLevel,15,1,1,0
19,qm,red,6067,5662,5524,84,84,27,15,Exited,Exited,Exited,12,0,0,3,57,2,0,0,1,0,0,0,0,55,Hang,Hang,Park,NotLevel,0,0,1,0
19,qm,blue,7192,3534,5704,103,103,18,10,Exited,Exited,None,8,0,0,2,70,5,3,0,1,0,0,0,0,65,Hang,Hang,None,IsLevel,15,0,0,0
20,qm,red,70,6595,5713,76,76,22,10,Exited,None,Exited,12,0,0,3,51,21,3,0,9,0,1,0,0,30,Hang,Park,None,NotLevel,3,0,0,0
20,qm,blue,5046,5235,6071,54,54,22,10,None,Exited,Exited,12,0,0,3,32,17,0,1,7,0,1,0,0,15,Park,Park,Park,IsLevel,0,1,0,0
21,qm,red,5697,2604,3667,117,117,27,15,Exited,Exited,Exited,12,0,0,3,45,0,0,0,0,0,0,0,0,45,None,Park,Hang,IsLevel,45,0,0,0
21,qm,blue,6085,830,7289,70,70,22,10,None,Exited,Exited,12,0,0,3,48,18,0,0,9,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,3,0
22,qm,red,5282,5166,3534,141,141,36,10,None,Exited,Exited,26,0,1,5,99,34,0,4,11,0,1,0,0,65,None,Hang,Hang,IsLevel,6,1,0,0
22,qm,blue,5533,5193,8193,78,78,37,15,Exited,Exited,Exited,22,0,1,4,38,8,0,0,4,0,1,0,0,30,Hang,None,Park,NotLevel,3,2,0,0
23,qm,red,314,1684,8400,68,68,19,15,Exited,Exited,Exited,4,0,0,1,49,14,4,2,2,0,1,0,0,35,Park,Hang,Park,NotLevel,0,0,0,0
23,qm,blue,70,5524,5046,96,96,18,10,Exited,Exited,None,8,0,0,2,78,33,0,3,12,0,1,0,0,45,Hang,None,Park,IsLevel,0,0,0,0
24,qm,red,322,5234,5562,23,23,15,15,Exited,Exited,Exited,0,0,0,0,8,3,3,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
24,qm,blue,6071,7192,6595,28,28,18,10,Exited,Exited,None,8,0,0,2,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
25,qm,red,5235,5224,5713,118,118,21,15,Exited,Exited,Exited,6,3,0,0,67,17,17,0,0,0,1,0,0,50,Park,Hang,Park,IsLevel,30,1,0,0
25,qm,blue,5144,5517,6073,66,66,24,10,Exited,Exited,None,14,0,1,2,39,9,9,0,0,0,1,0,0,30,Park,None,Hang,NotLevel,3,5,1,0
26,qm,red,5662,894,5704,44,44,14,10,Exited,Exited,None,4,0,0,1,30,0,0,0,0,0,0,0,0,30,Hang,Park,None,NotLevel,0,2,0,0
26,qm,blue,7772,6067,503,97,97,22,10,Exited,Exited,None,12,0,0,3,69,19,0,3,5,0,1,0,0,50,Park,Park,Hang,IsLevel,6,0,0,0
27,qm,red,201,6618,314,85,85,41,15,Exited,Exited,Exited,26,3,0,5,44,14,0,0,7,0,1,0,0,30,Hang,Park,None,NotLevel,0,1,0,0
27,qm,blue,5660,703,6595,87,87,32,10,Exited,Exited,None,22,3,0,4,52,12,8,0,2,0,1,0,0,40,Hang,None,None,IsLevel,3,0,0,0
28,qm,red,2604,5524,7192,20,20,15,15,Exited,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,1,0
28,qm,blue,5697,5235,5533,110,110,41,15,Exited,Exited,Exited,26,0,1,5,54,4,0,0,2,0,0,0,0,50,Hang,None,Hang,NotLevel,15,0,0,0
29,qm,red,5713,6067,5517,72,72,29,15,Exited,Exited,Exited,14,0,1,2,40,10,2,0,4,0,1,0,0,30,None,Hang,Park,NotLevel,3,0,0,0
29,qm,blue,7289,5562,8193,30,30,15,15,Exited,Exited,Exited,0,0,0,0,15,5,3,0,1,0,0,0,0,10,Park,None,Park,NotLevel,0,1,0,0
30,qm,red,3534,3667,5234,97,97,10,10,None,Exited,Exited,0,0,0,0,87,22,0,0,11,0,1,0,0,65,Hang,Hang,None,IsLevel,0,1,1,0
30,qm,blue,7772,8400,201,79,79,29,15,Exited,Exited,Exited,14,0,1,2,32,2,2,0,0,0,0,0,0,30,Park,None,Hang,NotLevel,18,0,0,0
31,qm,red,5193,70,5660,106,106,33,15,Exited,Exited,Exited,18,3,0,3,43,13,5,0,4,0,1,0,0,30,None,Hang,Park,NotLevel,30,1,1,0
31,qm,blue,830,1684,5166,163,163,27,15,Exited,Exited,Exited,12,0,0,3,118,63,0,7,21,0,1,0,0,55,Park,Hang,Hang,NotLevel,18,0,2,0
32,qm,red,5046,322,6618,115,115,22,10,None,Exited,Exited,12,0,0,3,78,28,1,1,12,0,1,0,0,50,Hang,None,Hang,NotLevel,15,0,0,0
32,qm,blue,5662,5282,6073,52,52,30,10,Exited,None,Exited,20,0,0,5,22,12,6,0,3,0,1,0,0,10,Park,None,Park,IsLevel,0,0,1,0
33,qm,red,6071,5704,703,37,37,22,10,Exited,None,Exited,12,0,0,3,15,5,1,0,2,0,0,0,0,10,None,Park,Park,IsLevel,0,0,3,0
33,qm,blue,6085,894,5144,108,108,12,10,None,Exited,Exited,2,1,0,0,51,6,6,0,0,0,0,0,0,45,None,Hang,Park,IsLevel,45,0,0,0
34,qm,red,5224,830,8400,79,79,27,15,Exited,Exited,Exited,12,0,0,3,52,37,12,5,5,0,1,0,0,15,Park,Park,Park,IsLevel,0,1,1,0
34,qm,blue,503,5660,5713,146,146,33,15,Exited,Exited,Exited,18,3,0,3,95,45,20,1,11,0,1,0,0,50,Hang,Hang,None,NotLevel,18,0,0,0
35,qm,red,5524,7772,5193,40,40,22,10,Exited,Exited,None,12,0,0,3,18,8,0,0,4,0,0,0,0,10,Park,Park,None,NotLevel,0,1,0,0
35,qm,blue,7289,5235,5517,56,56,23,15,Exited,Exited,Exited,8,0,0,2,30,0,0,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,3,0,0,0
36,qm,red,6071,322,5282,34,34,23,15,Exited,Exited,Exited,8,0,0,2,8,3,1,0,1,0,0,0,0,5,Park,None,None,IsLevel,3,0,1,0
36,qm,blue,5697,5704,6067,118,118,32,10,Exited,None,Exited,22,0,1,4,71,6,0,0,3,0,0,0,0,65,Hang,None,Hang,IsLevel,15,1,0,0
37,qm,red,201,6595,1684,73,73,16,10,Exited,None,Exited,6,1,0,1,51,21,5,0,8,0,1,0,0,30,Park,None,Hang,NotLevel,6,0,0,0
37,qm,blue,8193,6073,7192,74,74,19,15,Exited,Exited,Exited,4,0,0,1,55,0,0,0,0,0,0,0,0,55,Park,Hang,Hang,NotLevel,0,2,0,0
38,qm,red,703,503,70,138,138,39,15,Exited,Exited,Exited,24,0,0,6,81,36,0,2,15,0,1,0,0,45,None,Hang,Park,IsLevel,18,0,1,0
38,qm,blue,3667,5144,5046,116,116,18,10,Exited,Exited,None,8,0,0,2,83,33,0,1,15,0,1,0,0,50,Hang,Park,Park,IsLevel,15,1,1,0
39,qm,red,5533,6085,5224,119,119,22,10,Exited,None,Exited,12,0,0,3,91,26,18,0,4,0,1,0,0,65,Hang,None,Hang,IsLevel,6,0,0,0
39,qm,blue,894,3534,6618,85,85,27,15,Exited,Exited,Exited,12,0,0,3,58,23,5,0,9,0,1,0,0,35,Park,Park,Hang,NotLevel,0,2,0,0
40,qm,red,5662,314,5234,75,75,30,10,Exited,Exited,None,20,0,0,5,30,0,0,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,15,0,0,0
40,qm,blue,5562,5166,2604,104,104,27,15,Exited,Exited,Exited,12,0,0,3,77,32,0,4,10,0,1,0,0,45,None,Hang,Park,IsLevel,0,0,1,0
41,qm,red,6595,5046,8400,81,81,13,5,None,None,Exited,8,0,0,2,65,35,6,5,7,0,1,0,0,30,None,Hang,Park,NotLevel,3,0,0,0
41,qm,blue,1684,5660,6067,47,47,15,15,Exited,Exited,Exited,0,0,0,0,32,22,8,0,7,0,1,0,0,10,Park,Park,None,NotLevel,0,1,0,0
42,qm,red,70,8193,3534,142,142,35,15,Exited,Exited,Exited,20,0,0,5,59,4,0,0,2,0,0,0,0,55,Hang,Hang,Park,NotLevel,48,0,0,0
42,qm,blue,6085,703,5697,83,83,26,10,None,Exited,Exited,16,0,0,4,57,12,0,0,6,0,1,0,0,45,None,Park,Hang,IsLevel,0,1,3,0
43,qm,red,3667,6618,503,163,163,41,15,Exited,Exited,Exited,26,0,1,5,119,29,0,1,13,0,1,0,0,90,Hang,Hang,Hang,IsLevel,3,0,0,0
43,qm,blue,5234,5524,5235,22,22,12,10,None,Exited,Exited,2,1,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,1,0,0
44,qm,red,5533,6073,7772,137,137,33,15,Exited,Exited,Exited,18,0,1,3,89,14,3,1,4,0,1,0,0,75,Hang,Hang,Hang,NotLevel,15,1,0,0
44,qm,blue,5517,6071,5662,103,103,43,15,Exited,Exited,Exited,28,0,0,7,57,2,0,0,1,0,0,0,0,55,Hang,Park,Hang,NotLevel,3,0,1,0
45,qm,red,5144,5282,830,112,112,22,10,Exited,None,Exited,12,0,0,3,87,32,2,2,12,0,1,0,0,55,Hang,Park,Hang,NotLevel,3,0,1,0
45,qm,blue,894,5166,7192,104,104,41,15,Exited,Exited,Exited,26,2,1,4,48,18,5,1,5,0,1,0,0,30,Park,Hang,None,NotLevel,15,1,0,0
46,qm,red,7289,201,322,80,80,18,10,Exited,Exited,None,8,0,0,2,62,12,6,0,3,0,1,0,0,50,Hang,Hang,None,NotLevel,0,1,1,0
46,qm,blue,5713,314,2604,65,65,15,15,Exited,Exited,Exited,0,0,0,0,32,17,6,1,4,0,1,0,0,15,Park,Park,Park,IsLevel,18,0,0,0
47,qm,red,5704,5193,6085,41,41,9,5,None,Exited,None,4,0,0,1,14,4,2,0,1,0,0,0,0,10,None,Park,Park,IsLevel,18,2,0,0
47,qm,blue,5224,5562,5046,56,56,24,10,Exited,Exited,None,14,0,1,2,26,16,5,1,4,0,1,0,0,10,Park,None,Park,IsLevel,6,1,1,0
48,qm,red,3534,503,5144,136,136,28,10,None,Exited,Exited,18,0,1,3,108,58,3,3,23,0,1,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
48,qm,blue,5517,6595,5282,27,27,13,5,Exited,None,None,8,0,0,2,14,4,0,0,2,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
49,qm,red,7192,7289,5662,73,73,23,15,Exited,Exited,Exited,8,0,0,2,35,0,0,0,0,0,0,0,0,35,Park,Park,Hang,NotLevel,15,2,1,0
49,qm,blue,8400,3667,5166,125,125,31,15,Exited,Exited,Exited,16,0,0,4,73,18,7,1,4,0,1,0,0,55,Park,Hang,Hang,NotLevel,21,0,1,0
50,qm,red,6073,6067,5234,96,96,22,10,Exited,Exited,None,12,0,0,3,74,9,3,0,3,0,1,0,0,65,Hang,Hang,None,IsLevel,0,1,2,0
50,qm,blue,70,830,5533,152,152,51,15,Exited,Exited,Exited,36,0,0,9,68,13,0,1,5,0,1,0,0,55,Hang,Park,Hang,NotLevel,33,0,0,0
51,qm,red,5562,6618,6071,55,55,31,15,Exited,Exited,Exited,16,0,0,4,24,9,1,0,4,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
51,qm,blue,2604,5193,5224,78,78,25,15,Exited,Exited,Exited,10,3,0,1,53,8,4,0,2,0,1,0,0,45,None,Park,Hang,IsLevel,0,0,0,0
52,qm,red,703,8193,1684,103,103,38,10,None,Exited,Exited,28,0,0,7,56,6,0,0,3,0,1,0,0,50,None,Hang,Hang,NotLevel,9,0,0,0
52,qm,blue,5524,5713,5704,23,23,10,10,Exited,Exited,None,0,0,0,0,13,3,3,0,0,0,0,0,0,10,Park,Park,None,NotLevel,0,3,0,0
53,qm,red,5660,7772,5235,91,91,10,10,Exited,Exited,None,0,0,0,0,69,19,9,0,5,0,1,0,0,50,Hang,Hang,None,NotLevel,12,1,0,0
53,qm,blue,894,322,5697,109,109,25,15,Exited,Exited,Exited,10,1,0,2,81,16,6,0,5,0,1,0,0,65,Hang,None,Hang,IsLevel,3,4,0,0
54,qm,red,201,5662,6085,34,34,22,10,Exited,Exited,None,12,0,0,3,12,2,2,0,0,0,0,0,0,10,Park,Park,None,NotLevel,0,0,0,0
54,qm,blue,314,7192,503,111,111,37,15,Exited,Exited,Exited,22,0,1,4,74,29,0,1,13,0,1,0,0,45,None,Park,Hang,IsLevel,0,0,0,0
55,qm,red,5166,7289,5524,134,134,39,15,Exited,Exited,Exited,24,0,0,6,65,15,1,0,7,0,1,0,0,50,Hang,Hang,None,NotLevel,30,0,1,0
55,qm,blue,6595,5224,6067,74,74,25,5,None,Exited,None,20,0,0,5,34,4,0,0,2,0,0,0,0,30,Park,None,Hang,NotLevel,15,0,2,0
56,qm,red,3534,2604,830,90,90,15,15,Exited,Exited,Exited,0,0,0,0,60,30,0,0,15,0,1,0,0,30,Park,None,Hang,NotLevel,15,0,1,0
56,qm,blue,1684,70,322,69,69,33,15,Exited,Exited,Exited,18,0,1,3,21,11,0,1,4,0,1,0,0,10,Park,None,Park,NotLevel,15,0,1,0
57,qm,red,6073,5713,6071,106,106,21,15,Exited,Exited,Exited,6,1,0,1,67,12,10,0,1,0,1,0,0,55,Hang,Park,Hang,NotLevel,18,0,0,0
57,qm,blue,314,3667,5282,19,19,9,5,Exited,None,None,4,0,0,1,10,0,0,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,1,1,0
