match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7713,4970,8382,19,19,5,5,Exited,None,None,0,0,0,0,14,9,3,0,3,0,0,0,0,5,Park,None,None,NotLevel,0,0,0,0
1,qm,blue,4988,7638,6581,26,26,15,15,Exited,Exited,Exited,0,0,0,0,11,6,6,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
2,qm,red,6088,7250,7816,29,29,17,5,Exited,None,None,12,0,0,3,12,2,0,0,1,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
2,qm,blue,8425,3602,2867,37,37,16,10,Exited,None,Exited,6,3,0,0,21,11,4,1,2,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
3,qm,red,3875,7823,5534,62,62,15,15,Exited,Exited,Exited,0,0,0,0,47,2,0,0,1,0,0,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
3,qm,blue,4375,7790,4391,115,115,47,15,Exited,Exited,Exited,32,0,4,2,68,38,0,8,7,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
4,qm,red,6557,7782,5989,78,78,22,10,None,Exited,Exited,12,0,0,3,56,6,2,0,2,0,0,0,0,50,Park,Hang,Park,IsLevel,0,0,0,0
4,qm,blue,5706,7154,857,62,62,17,5,None,None,Exited,12,0,2,0,45,15,1,2,4,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
5,qm,red,6637,7768,6345,80,80,25,5,Exited,None,None,20,0,0,5,22,17,0,1,7,0,1,0,0,5,Park,None,None,NotLevel,33,0,0,0
5,qm,blue,6538,6569,4715,20,20,10,10,Exited,None,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,1,2,0
6,qm,red,5486,7156,2586,91,91,29,15,Exited,Exited,Exited,14,0,1,2,32,17,7,0,5,0,1,0,0,15,Park,Park,Park,IsLevel,30,1,0,0
6,qm,blue,7827,7020,6079,33,33,20,10,None,Exited,Exited,10,0,1,1,10,5,2,1,0,0,0,0,0,5,None,None,Park,IsLevel,3,0,2,0
7,qm,red,4827,6088,6558,36,36,21,15,Exited,Exited,Exited,6,3,0,0,15,10,4,0,3,0,1,0,0,5,Park,None,None,IsLevel,0,0,0,0
7,qm,blue,6557,5878,6113,73,73,18,10,Exited,Exited,None,8,0,0,2,55,20,0,4,4,0,1,0,0,35,Park,Hang,Park,NotLevel,0,0,0,0
8,qm,red,6637,7250,6569,92,92,24,10,Exited,Exited,None,14,0,1,2,65,30,0,2,12,0,1,0,0,35,Hang,Park,Park,NotLevel,3,0,0,0
8,qm,blue,4391,6581,3875,108,108,31,15,Exited,Exited,Exited,16,0,2,1,77,27,0,5,6,0,1,0,0,50,Hang,None,Hang,NotLevel,0,1,0,0
9,qm,red,5706,6538,5486,32,32,15,15,Exited,Exited,Exited,0,0,0,0,17,7,5,0,1,0,0,0,0,10,Park,None,Park,IsLevel,0,0,2,0
9,qm,blue,2867,857,4988,156,156,42,10,Exited,None,Exited,32,3,3,2,84,14,3,3,1,0,1,0,0,70,Park,Hang,Hang,IsLevel,30,0,0,0
10,qm,red,7823,4375,5878,75,75,31,15,Exited,Exited,Exited,16,2,0,3,44,14,8,0,3,0,1,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
10,qm,blue,7827,7638,6558,27,27,12,10,None,Exited,Exited,2,1,0,0,15,5,5,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
11,qm,red,6345,5534,7790,28,28,18,10,None,Exited,Exited,8,0,0,2,10,5,0,1,1,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
11,qm,blue,7713,7782,7156,59,59,27,15,Exited,Exited,Exited,12,0,0,3,32,7,3,0,2,0,0,0,0,25,None,Hang,None,NotLevel,0,0,0,0
12,qm,red,7020,2586,4715,70,70,27,15,Exited,Exited,Exited,12,0,0,3,43,28,0,0,14,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,2,0
12,qm,blue,8382,7154,3602,76,76,28,10,None,Exited,Exited,18,0,3,0,18,13,0,3,2,0,0,0,0,5,None,None,Park,NotLevel,30,0,0,0
13,qm,red,7768,5989,4827,103,103,14,10,None,Exited,Exited,4,2,0,0,59,4,4,0,0,0,0,0,0,55,Park,Hang,Hang,NotLevel,30,0,3,0
13,qm,blue,4970,8425,6079,120,120,26,10,None,Exited,Exited,16,0,2,1,49,14,14,0,0,0,1,0,0,35,Park,Hang,Park,NotLevel,45,0,2,0
14,qm,red,6113,5486,6569,113,113,18,10,Exited,Exited,None,8,0,0,2,50,20,8,0,6,0,1,0,0,30,Hang,Park,None,NotLevel,45,0,0,0
14,qm,blue,7713,7816,5534,44,44,10,10,Exited,None,Exited,0,0,0,0,34,4,4,0,0,0,0,0,0,30,Park,Hang,None,NotLevel,0,0,3,0
15,qm,red,4715,7823,6088,64,64,15,15,Exited,Exited,Exited,0,0,0,0,19,4,0,0,2,0,0,0,0,15,Park,Park,Park,IsLevel,30,0,0,0
15,qm,blue,7782,4988,4375,84,84,29,15,Exited,Exited,Exited,14,0,1,2,55,20,0,6,1,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,2,0
16,qm,red,7827,2867,7768,77,77,11,5,None,Exited,None,6,3,0,0,51,1,1,0,0,0,0,0,0,50,Park,Park,Hang,IsLevel,15,0,2,0
16,qm,blue,6558,2586,7790,102,102,27,15,Exited,Exited,Exited,12,0,0,3,45,30,0,6,6,0,1,0,0,15,Park,Park,Park,NotLevel,30,0,1,0
17,qm,red,7250,8425,7020,20,20,15,15,Exited,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
17,qm,blue,6113,6637,4827,129,129,45,15,Exited,Exited,Exited,30,3,2,3,84,29,12,3,4,0,1,0,0,55,Park,Hang,Hang,NotLevel,0,0,0,0
18,qm,red,7154,7156,7816,19,19,10,10,Exited,Exited,None,0,0,0,0,9,4,2,0,1,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
18,qm,blue,857,4391,6538,116,116,35,15,Exited,Exited,Exited,20,0,2,2,81,31,0,7,5,0,1,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
19,qm,red,8382,6557,6581,20,20,10,10,None,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,1,0
19,qm,blue,7638,5989,3875,135,135,33,15,Exited,Exited,Exited,18,2,1,2,87,22,1,3,6,0,1,0,0,65,None,Hang,Hang,IsLevel,15,0,0,0
20,qm,red,4970,3602,5878,141,141,22,10,None,Exited,Exited,12,0,0,3,89,19,3,0,8,0,1,0,0,70,Park,Hang,Hang,IsLevel,30,4,1,0
20,qm,blue,5706,6079,6345,71,71,18,10,Exited,Exited,None,8,0,0,2,26,11,1,2,2,0,0,0,0,15,Park,Park,Park,NotLevel,27,0,2,0
21,qm,red,7154,6113,6088,45,45,27,15,Exited,Exited,Exited,12,0,0,3,18,8,1,1,2,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
21,qm,blue,7768,5486,7823,47,47,10,10,None,Exited,Exited,0,0,0,0,37,7,7,0,0,0,0,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
22,qm,red,6581,7827,7782,36,36,22,10,Exited,None,Exited,12,0,0,3,14,9,1,0,4,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
22,qm,blue,2867,7020,4827,67,67,21,15,Exited,Exited,Exited,6,3,0,0,46,16,16,0,0,0,1,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
23,qm,red,6558,8382,4715,37,37,15,15,Exited,Exited,Exited,0,0,0,0,16,1,1,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,6,0,0,0
23,qm,blue,7816,6079,6538,40,40,24,10,None,Exited,Exited,14,0,1,2,16,11,0,3,1,0,0,0,0,5,None,Park,None,IsLevel,0,2,0,0
24,qm,red,7156,4375,6557,82,82,27,15,Exited,Exited,Exited,12,1,1,1,55,10,0,0,5,0,0,0,0,45,None,Hang,Park,IsLevel,0,0,1,0
24,qm,blue,4970,4988,6637,89,89,45,15,Exited,Exited,Exited,30,2,3,2,29,14,3,3,1,0,1,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
25,qm,red,5534,5878,4391,103,103,33,15,Exited,Exited,Exited,18,3,0,3,70,20,4,0,8,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,2,0
25,qm,blue,6569,5989,5706,57,57,10,10,None,Exited,Exited,0,0,0,0,17,7,2,1,1,0,0,0,0,10,None,Park,Park,NotLevel,30,0,0,0
26,qm,red,8425,7790,7638,104,104,33,15,Exited,Exited,Exited,18,3,0,3,41,26,18,0,4,0,1,0,0,15,Park,Park,Park,IsLevel,30,0,3,0
26,qm,blue,2586,857,6345,164,164,40,10,Exited,Exited,None,30,0,3,3,79,34,0,8,5,0,1,0,0,45,None,Hang,Park,IsLevel,45,0,2,0
27,qm,red,3875,7827,7713,120,120,22,10,Exited,None,Exited,12,0,0,3,83,33,7,2,10,0,1,0,0,50,Hang,Park,Park,IsLevel,15,0,0,0
27,qm,blue,7782,3602,7250,63,63,45,15,Exited,Exited,Exited,30,0,3,3,18,13,0,1,5,0,1,0,0,5,Park,None,None,IsLevel,0,0,1,0
28,qm,red,7816,4715,5706,43,43,10,10,None,Exited,Exited,0,0,0,0,18,8,8,0,0,0,0,0,0,10,Park,Park,None,IsLevel,15,0,0,0
28,qm,blue,6581,5878,7156,56,56,21,15,Exited,Exited,Exited,6,3,0,0,35,5,5,0,0,0,0,0,0,30,None,Hang,Park,NotLevel,0,0,1,0
29,qm,red,6113,4391,8425,74,74,37,15,Exited,Exited,Exited,22,0,1,4,37,27,0,1,12,0,1,0,0,10,Park,Park,None,NotLevel,0,0,1,0
