match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,8314,308,7225,65,65,26,10,None,Exited,Exited,16,0,0,4,39,9,2,1,2,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,1,0
1,qm,blue,66,74,7769,73,73,15,15,Exited,Exited,Exited,0,0,0,0,43,13,0,1,5,0,0,0,0,30,None,Hang,Park,NotLevel,15,0,0,0
2,qm,red,6020,1189,4405,46,46,14,10,Exited,None,Exited,4,0,0,1,32,2,0,0,1,0,0,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
2,qm,blue,5263,7598,5155,35,35,15,15,Exited,Exited,Exited,0,0,0,0,20,10,0,0,5,0,0,0,0,10,None,Park,Park,NotLevel,0,0,0,0
3,qm,red,8332,3098,8299,19,19,9,5,None,Exited,None,4,0,0,1,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
3,qm,blue,5053,7660,5561,147,147,49,15,Exited,Exited,Exited,34,0,1,7,98,8,0,0,4,0,1,0,0,90,Hang,Hang,Hang,IsLevel,0,0,0,0
4,qm,red,7220,7195,6570,46,46,23,15,Exited,Exited,Exited,8,0,0,2,23,13,0,1,5,0,0,0,0,10,None,Park,Park,IsLevel,0,3,0,0
4,qm,blue,7211,835,51,68,68,27,15,Exited,Exited,Exited,12,0,0,3,32,22,0,2,8,0,1,0,0,10,Park,None,Park,IsLevel,9,0,0,0
5,qm,red,7147,3536,7178,70,70,13,5,None,Exited,None,8,0,0,2,45,15,0,1,6,0,1,0,0,30,None,Park,Hang,NotLevel,12,0,2,0
5,qm,blue,6344,5712,7495,150,150,41,15,Exited,Exited,Exited,26,0,1,5,79,14,0,0,7,0,1,0,0,65,Hang,Hang,None,IsLevel,30,4,0,0
6,qm,red,7553,4776,6078,81,81,34,10,None,Exited,Exited,24,1,1,4,47,12,8,0,2,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
6,qm,blue,67,5167,453,149,149,34,10,Exited,Exited,None,24,0,0,6,115,45,3,4,15,0,1,0,0,70,Hang,Hang,Park,IsLevel,0,0,0,0
7,qm,red,1076,7598,1189,113,113,10,10,Exited,Exited,None,0,0,0,0,55,25,0,1,11,0,1,0,0,30,Hang,None,Park,NotLevel,48,1,2,0
7,qm,blue,7769,3707,4362,68,68,23,15,Exited,Exited,Exited,8,0,0,2,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,33,1,3,0
8,qm,red,5712,66,51,136,136,32,10,Exited,None,Exited,22,0,1,4,104,39,0,1,18,0,1,0,0,65,Hang,None,Hang,IsLevel,0,0,1,0
8,qm,blue,7220,7178,7211,112,112,30,10,Exited,None,Exited,20,0,0,5,67,22,0,0,11,0,1,0,0,45,Park,Hang,None,IsLevel,15,0,0,0
9,qm,red,308,7660,8299,83,83,30,10,Exited,Exited,None,20,0,0,5,53,23,0,3,7,0,1,0,0,30,Park,Hang,None,NotLevel,0,1,0,0
9,qm,blue,5155,453,4405,105,105,23,15,Exited,Exited,Exited,8,0,0,2,79,14,10,0,2,0,1,0,0,65,Hang,None,Hang,IsLevel,3,0,0,0
10,qm,red,6570,4362,8332,41,41,23,15,Exited,Exited,Exited,8,0,0,2,12,2,0,0,1,0,0,0,0,10,Park,Park,None,IsLevel,6,0,4,0
10,qm,blue,6344,74,67,191,191,49,15,Exited,Exited,Exited,34,0,1,7,82,17,0,1,7,0,1,0,0,65,Hang,None,Hang,IsLevel,60,2,0,0
11,qm,red,5053,3707,3098,111,111,43,15,Exited,Exited,Exited,28,0,2,4,65,30,0,2,12,0,1,0,0,35,Park,Hang,Park,NotLevel,3,0,0,0
11,qm,blue,7147,6078,8314,41,41,16,10,Exited,Exited,None,6,3,0,0,25,15,15,0,0,0,1,0,0,10,Park,Park,None,NotLevel,0,1,0,0
12,qm,red,4776,7195,5167,108,108,39,15,Exited,Exited,Exited,24,0,0,6,69,24,0,0,12,0,1,0,0,45,Hang,None,Park,IsLevel,0,0,0,0
12,qm,blue,3536,6020,5561,97,97,30,10,Exited,None,Exited,20,0,0,5,67,22,0,0,11,0,1,0,0,45,Park,None,Hang,IsLevel,0,0,0,0
13,qm,red,835,7553,5263,48,48,27,15,Exited,Exited,Exited,12,0,0,3,21,16,0,0,8,0,1,0,0,5,None,Park,None,NotLevel,0,0,0,0
13,qm,blue,1076,7225,7495,47,47,26,10,None,Exited,Exited,16,2,0,3,21,11,11,0,0,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
14,qm,red,6344,7147,66,87,87,23,15,Exited,Exited,Exited,8,0,0,2,64,34,9,1,11,0,1,0,0,30,Park,Hang,None,NotLevel,0,1,0,0
14,qm,blue,5155,1189,7660,82,82,35,15,Exited,Exited,Exited,20,0,2,2,44,9,0,1,3,0,0,0,0,35,Park,Park,Hang,NotLevel,3,0,0,0
15,qm,red,4405,51,3536,186,186,41,15,Exited,Exited,Exited,26,0,1,5,121,31,0,1,14,0,1,0,0,90,Hang,Hang,Hang,IsLevel,24,0,0,0
15,qm,blue,7598,7195,3098,28,28,14,10,None,Exited,Exited,4,0,0,1,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,0,3,1,0
16,qm,red,835,5167,7769,58,58,20,10,Exited,Exited,None,10,0,1,1,38,23,0,3,7,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
16,qm,blue,5263,8299,7211,14,14,14,10,Exited,None,Exited,4,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
17,qm,red,8314,4362,5053,53,53,28,10,None,Exited,Exited,18,0,1,3,10,0,0,0,0,0,0,0,0,10,None,Park,Park,NotLevel,15,0,1,0
17,qm,blue,74,7553,5712,97,97,27,15,Exited,Exited,Exited,12,0,0,3,55,0,0,0,0,0,0,0,0,55,Hang,Park,Hang,NotLevel,15,0,1,0
18,qm,red,453,7225,7220,76,76,37,15,Exited,Exited,Exited,22,0,1,4,39,29,13,0,8,0,1,0,0,10,None,Park,Park,NotLevel,0,1,0,0
18,qm,blue,7495,5561,3707,116,116,35,15,Exited,Exited,Exited,20,2,0,4,78,28,1,1,12,0,1,0,0,50,None,Hang,Hang,NotLevel,3,0,0,0
19,qm,red,6020,308,4776,105,105,31,15,Exited,Exited,Exited,16,0,0,4,74,9,0,1,3,0,0,0,0,65,None,Hang,Hang,IsLevel,0,3,0,0
19,qm,blue,67,1076,7178,131,131,38,10,Exited,Exited,None,28,0,0,7,84,19,0,3,5,0,1,0,0,65,Hang,None,Hang,IsLevel,9,0,0,0
20,qm,red,7660,6078,8332,84,84,35,15,Exited,Exited,Exited,20,3,1,2,49,19,5,0,7,0,1,0,0,30,Hang,Park,None,NotLevel,0,1,0,0
20,qm,blue,66,835,6570,62,62,15,15,Exited,Exited,Exited,0,0,0,0,44,14,0,0,7,0,0,0,0,30,None,Park,Hang,NotLevel,3,0,0,0
21,qm,red,5712,5155,3536,143,143,39,15,Exited,Exited,Exited,24,0,0,6,104,14,0,0,7,0,1,0,0,90,Hang,Hang,Hang,IsLevel,0,0,1,0
21,qm,blue,453,5561,7553,111,111,35,15,Exited,Exited,Exited,20,0,0,5,61,31,3,0,14,0,1,0,0,30,None,Hang,Park,NotLevel,15,0,0,0
22,qm,red,3707,8299,67,169,169,42,10,Exited,None,Exited,32,0,2,5,112,47,0,3,19,0,1,0,0,65,Hang,None,Hang,IsLevel,15,0,0,0
22,qm,blue,7147,4405,7211,125,125,22,10,Exited,Exited,None,12,0,0,3,103,13,5,0,4,0,1,0,0,90,Hang,Hang,Hang,IsLevel,0,0,1,0
23,qm,red,7769,7225,4776,79,79,36,10,None,Exited,Exited,26,0,1,5,43,13,11,0,1,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
23,qm,blue,51,6570,3098,106,106,31,15,Exited,Exited,Exited,16,0,0,4,75,40,0,0,20,0,1,0,0,35,Park,Hang,Park,NotLevel,0,0,0,0
24,qm,red,7220,7495,5053,111,111,35,15,Exited,Exited,Exited,20,2,0,4,76,31,4,3,9,0,1,0,0,45,None,Park,Hang,IsLevel,0,0,0,0
