match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,5610,5194,4855,98,98,18,10,Exited,None,Exited,8,0,0,2,65,20,0,0,10,0,1,0,0,45,Park,None,Hang,IsLevel,15,0,0,0
1,qm,blue,5056,5710,6588,40,40,9,5,None,Exited,None,4,0,0,1,31,21,0,1,9,0,1,0,0,10,Park,None,Park,NotLevel,0,0,1,0
2,qm,red,3452,4237,226,116,116,31,15,Exited,Exited,Exited,16,0,0,4,85,35,4,3,11,0,1,0,0,50,Park,Park,Hang,IsLevel,0,1,0,0
2,qm,blue,7809,5535,5182,33,33,5,5,Exited,None,None,0,0,0,0,25,20,2,0,9,0,1,0,0,5,Park,None,None,IsLevel,3,0,0,0
3,qm,red,6638,2767,2959,120,120,39,15,Exited,Exited,Exited,24,0,0,6,81,36,0,6,9,0,1,0,0,45,Park,Hang,None,IsLevel,0,2,1,0
3,qm,blue,4003,2337,2054,195,195,37,15,Exited,Exited,Exited,22,0,3,1,137,67,0,7,23,0,1,0,0,70,Hang,Hang,Park,IsLevel,21,0,0,0
4,qm,red,1254,5926,3620,31,31,19,15,Exited,Exited,Exited,4,0,0,1,12,7,0,1,2,0,0,0,0,5,None,Park,None,IsLevel,0,0,1,0
4,qm,blue,4409,8363,5547,59,59,26,10,Exited,None,Exited,16,0,0,4,18,8,6,0,1,0,1,0,0,10,None,Park,Park,IsLevel,15,0,0,0
5,qm,red,5110,7234,5152,84,84,19,15,Exited,Exited,Exited,4,2,0,0,59,9,5,0,2,0,1,0,0,50,Hang,None,Hang,NotLevel,6,0,0,0
5,qm,blue,2619,5980,4384,74,74,45,15,Exited,Exited,Exited,30,3,0,6,29,19,7,0,6,0,1,0,0,10,Park,None,Park,NotLevel,0,2,0,0
6,qm,red,7054,85,1940,29,29,5,5,None,Exited,None,0,0,0,0,21,11,1,0,5,0,0,0,0,10,Park,None,Park,IsLevel,3,1,0,0
6,qm,blue,8342,8367,5927,8,8,5,5,Exited,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,3,1,0,0
7,qm,red,7210,5194,5462,21,21,5,5,None,None,Exited,0,0,0,0,16,6,0,0,3,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
7,qm,blue,7814,4325,6638,53,53,18,10,None,Exited,Exited,8,0,0,2,35,10,0,0,5,0,0,0,0,25,None,Hang,None,NotLevel,0,0,0,0
8,qm,red,5926,5710,4409,80,80,15,15,Exited,Exited,Exited,0,0,0,0,35,20,0,0,10,0,1,0,0,15,Park,Park,Park,IsLevel,30,0,2,0
8,qm,blue,7809,5610,7234,70,70,19,15,Exited,Exited,Exited,4,0,0,1,21,11,5,0,3,0,1,0,0,10,Park,Park,None,NotLevel,30,0,2,0
9,qm,red,5535,5152,8342,88,88,18,10,None,Exited,Exited,8,2,0,1,70,15,7,0,4,0,1,0,0,55,Park,Hang,Hang,NotLevel,0,0,3,0
9,qm,blue,1254,2054,1940,98,98,18,10,Exited,Exited,None,8,0,0,2,35,20,0,0,10,0,1,0,0,15,Park,Park,Park,IsLevel,45,0,0,0
10,qm,red,7814,5927,5182,94,94,34,10,None,Exited,Exited,24,0,0,6,60,30,0,2,12,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
10,qm,blue,2337,5980,2959,126,126,51,15,Exited,Exited,Exited,36,0,4,3,75,55,10,5,15,10,1,1,0,10,Park,Park,None,NotLevel,0,0,0,0
11,qm,red,2619,4003,5547,86,86,31,15,Exited,Exited,Exited,16,0,0,4,43,13,1,2,3,0,1,0,0,30,None,Hang,Park,NotLevel,12,1,2,0
