match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7068,4217,3275,47,47,14,10,Exited,None,Exited,4,0,0,1,18,8,0,0,4,0,0,0,0,10,Park,None,Park,NotLevel,15,0,1,0
1,qm,blue,1816,6045,3102,115,115,59,15,Exited,Exited,Exited,44,0,2,8,41,31,0,5,8,0,1,0,0,10,Park,None,Park,NotLevel,15,0,1,0
2,qm,red,4728,7797,4511,123,123,35,15,Exited,Exited,Exited,20,2,0,4,88,38,8,4,9,0,1,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
2,qm,blue,2861,2177,2823,51,51,31,15,Exited,Exited,Exited,16,0,0,4,20,10,0,0,5,0,1,0,0,10,Park,None,Park,NotLevel,0,0,0,0
3,qm,red,4009,2264,7864,98,98,34,10,Exited,None,Exited,24,0,0,6,64,29,0,3,10,0,1,0,0,35,Hang,Park,Park,NotLevel,0,1,0,0
3,qm,blue,3755,4166,5826,71,71,16,10,Exited,None,Exited,6,3,0,0,52,17,1,2,5,0,1,0,0,35,Park,Park,Hang,NotLevel,3,0,0,0
4,qm,red,6146,4674,6628,134,134,35,15,Exited,Exited,Exited,20,0,0,5,69,4,2,0,1,0,0,0,0,65,Hang,None,Hang,IsLevel,30,1,0,0
4,qm,blue,8416,2169,3754,61,61,22,10,None,Exited,Exited,12,0,0,3,36,26,0,0,13,0,1,0,0,10,Park,None,Park,NotLevel,3,0,2,0
5,qm,red,5991,3291,5464,70,70,22,10,None,Exited,Exited,12,0,0,3,48,13,1,0,6,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,1,0
5,qm,blue,4238,7041,6022,94,94,10,10,None,Exited,Exited,0,0,0,0,69,4,0,0,2,0,0,0,0,65,None,Hang,Hang,IsLevel,15,0,0,0
6,qm,red,5690,6453,5253,142,142,27,15,Exited,Exited,Exited,12,2,0,2,100,30,8,0,11,0,1,0,0,70,Hang,Hang,Park,IsLevel,15,0,2,0
6,qm,blue,5586,6160,3294,97,97,21,15,Exited,Exited,Exited,6,3,0,0,46,16,16,0,0,0,1,0,0,30,None,Park,Hang,NotLevel,30,0,1,0
7,qm,red,5348,4480,2175,104,104,41,15,Exited,Exited,Exited,26,0,1,5,33,18,0,2,6,0,1,0,0,15,Park,Park,Park,IsLevel,30,0,1,0
