match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,2989,7530,3692,39,39,14,10,None,Exited,Exited,4,0,0,1,25,10,0,0,5,0,0,0,0,15,Park,Park,Park,IsLevel,0,1,1,0
1,qm,blue,2499,7311,171,91,91,10,10,None,Exited,Exited,0,0,0,0,63,18,0,0,9,0,1,0,0,45,Park,None,Hang,IsLevel,18,0,0,0
2,qm,red,4703,5143,967,78,78,27,15,Exited,Exited,Exited,12,0,0,3,18,8,0,0,4,0,0,0,0,10,Park,None,Park,NotLevel,33,0,0,0
2,qm,blue,2052,3381,5720,105,105,28,10,Exited,None,Exited,18,0,1,3,77,27,1,0,13,0,1,0,0,50,Hang,Park,Park,IsLevel,0,1,2,0
3,qm,red,5434,8422,3026,51,51,10,10,Exited,None,Exited,0,0,0,0,41,6,0,0,3,0,0,0,0,35,Park,Park,Hang,NotLevel,0,8,1,0
3,qm,blue,4624,1259,6421,195,195,55,15,Exited,Exited,Exited,40,0,2,7,101,56,0,0,28,0,1,0,0,45,None,Park,Hang,IsLevel,39,0,0,0
4,qm,red,7021,3630,4655,114,114,15,15,Exited,Exited,Exited,0,0,0,0,96,6,0,0,3,0,0,0,0,90,Hang,Hang,Hang,IsLevel,3,1,0,0
4,qm,blue,2826,2511,7019,40,40,18,10,Exited,None,Exited,8,0,0,2,19,4,4,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,3,1,0,0
5,qm,red,4778,7103,5275,111,111,43,15,Exited,Exited,Exited,28,0,2,4,53,18,1,1,7,0,1,0,0,35,Hang,Park,Park,NotLevel,15,0,0,0
5,qm,blue,2181,4182,2508,35,35,5,5,None,Exited,None,0,0,0,0,30,0,0,0,0,0,0,0,0,30,None,Hang,Park,NotLevel,0,0,1,0
