match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4534,3737,8304,54,54,17,5,Exited,None,None,12,0,0,3,7,2,0,0,1,0,0,0,0,5,None,Park,None,IsLevel,30,2,1,0
1,qm,blue,7463,3336,2640,54,54,15,15,Exited,Exited,Exited,0,0,0,0,18,8,0,0,4,0,0,0,0,10,Park,Park,None,NotLevel,21,0,2,0
2,qm,red,3661,6512,4935,19,19,13,5,None,Exited,None,8,0,0,2,6,1,1,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
2,qm,blue,6177,7270,3506,34,34,5,5,None,None,Exited,0,0,0,0,29,4,0,0,2,0,0,0,0,25,None,None,Hang,NotLevel,0,0,0,0
3,qm,red,7715,3196,2682,43,43,22,10,None,Exited,Exited,12,0,0,3,21,11,0,1,4,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
3,qm,blue,3822,1225,6214,50,50,11,5,None,Exited,None,6,3,0,0,39,9,9,0,0,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
4,qm,red,8315,1533,8030,89,89,22,10,Exited,Exited,None,12,0,0,3,67,27,0,1,12,0,1,0,0,40,None,Hang,None,IsLevel,0,0,1,0
4,qm,blue,2655,435,4290,60,60,15,15,Exited,Exited,Exited,0,0,0,0,30,15,0,3,3,0,0,0,0,15,Park,Park,Park,NotLevel,15,0,0,0
5,qm,red,7443,7265,6729,58,58,39,15,Exited,Exited,Exited,24,2,0,5,16,6,2,0,2,0,1,0,0,10,Park,None,Park,NotLevel,3,0,0,0
5,qm,blue,4541,3196,4795,41,41,19,15,Exited,Exited,Exited,4,0,0,1,22,12,4,0,4,0,1,0,0,10,Park,Park,None,IsLevel,0,1,0,0
6,qm,red,8304,2655,1533,50,50,18,10,None,Exited,Exited,8,0,0,2,17,12,1,1,4,0,0,0,0,5,None,None,Park,NotLevel,15,2,2,0
