match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,781,1325,4903,144,144,29,15,Exited,Exited,Exited,14,0,1,2,100,35,0,3,13,0,1,0,0,65,Hang,None,Hang,IsLevel,15,0,0,0
1,qm,blue,865,854,4152,79,79,39,15,Exited,Exited,Exited,24,2,0,5,40,30,2,0,14,0,1,0,0,10,Park,None,Park,NotLevel,0,0,1,0
2,qm,red,2609,6859,4525,119,119,15,15,Exited,Exited,Exited,0,0,0,0,98,33,21,0,6,0,1,0,0,65,Hang,None,Hang,IsLevel,6,0,0,0
2,qm,blue,6481,7614,4015,50,50,9,5,None,None,Exited,4,0,0,1,41,31,1,2,12,0,1,0,0,10,Park,None,Park,IsLevel,0,2,0,0
3,qm,red,4967,6513,1374,53,53,23,15,Exited,Exited,Exited,8,0,0,2,30,0,0,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,0,0,0,0
3,qm,blue,2935,7664,7757,24,24,14,10,None,Exited,Exited,4,2,0,0,10,5,5,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
4,qm,red,6864,6865,5409,52,52,18,10,None,Exited,Exited,8,0,0,2,34,24,8,0,8,0,1,0,0,10,Park,Park,None,IsLevel,0,1,1,0
4,qm,blue,6336,6544,4936,85,85,26,10,Exited,None,Exited,16,0,2,1,41,16,0,0,8,0,1,0,0,25,Hang,None,None,NotLevel,18,0,0,0
5,qm,red,1360,2935,5672,52,52,22,10,None,Exited,Exited,12,0,0,3,30,20,0,0,10,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
5,qm,blue,7200,7456,5408,74,74,17,15,Exited,Exited,Exited,2,1,0,0,57,12,12,0,0,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
6,qm,red,7757,854,6544,84,84,20,10,Exited,Exited,None,10,3,0,1,64,14,3,1,4,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
6,qm,blue,7614,865,6864,87,87,31,15,Exited,Exited,Exited,16,0,0,4,56,26,0,4,7,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
7,qm,red,6865,4152,6481,97,97,35,15,Exited,Exited,Exited,20,0,0,5,59,9,5,0,2,0,1,0,0,50,Park,Hang,Park,IsLevel,3,0,0,0
7,qm,blue,781,7664,5672,39,39,21,15,Exited,Exited,Exited,6,3,0,0,18,8,8,0,0,0,1,0,0,10,Park,Park,None,IsLevel,0,1,0,0
8,qm,red,6336,7200,2609,123,123,31,15,Exited,Exited,Exited,16,4,0,2,89,14,14,0,0,0,1,0,0,75,Hang,Hang,Hang,NotLevel,3,0,1,0
8,qm,blue,4525,6859,1325,93,93,27,15,Exited,Exited,Exited,12,0,0,3,51,6,0,0,3,0,0,0,0,45,Park,None,Hang,IsLevel,15,1,0,0
9,qm,red,4903,6513,4967,97,97,35,15,Exited,Exited,Exited,20,0,0,5,62,12,4,0,4,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
9,qm,blue,7456,1374,5409,77,77,46,10,None,Exited,Exited,36,0,0,9,31,16,0,0,8,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
10,qm,red,4936,865,4015,87,87,31,15,Exited,Exited,Exited,16,0,0,4,56,26,0,2,10,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
