match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7174,1114,6878,67,67,39,15,Exited,Exited,Exited,24,0,0,6,28,18,0,0,9,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
1,qm,blue,5032,3683,6977,100,100,29,15,Exited,Exited,Exited,14,0,1,2,71,41,4,1,17,0,1,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
2,qm,red,4519,1285,5031,85,85,35,15,Exited,Exited,Exited,20,0,0,5,35,25,0,1,11,0,1,0,0,10,Park,Park,None,IsLevel,15,0,0,0
2,qm,blue,4343,3571,7475,33,33,17,5,None,None,Exited,12,0,0,3,16,6,0,0,3,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
3,qm,red,4618,2198,746,62,62,16,10,None,Exited,Exited,6,3,0,0,28,13,13,0,0,0,1,0,0,15,Park,Park,Park,IsLevel,18,1,0,0
3,qm,blue,7558,7623,5834,106,106,29,15,Exited,Exited,Exited,14,0,1,2,74,9,1,0,4,0,0,0,0,65,Hang,None,Hang,IsLevel,3,1,1,0
4,qm,red,2405,2852,2386,40,40,26,10,Exited,None,Exited,16,0,0,4,14,4,0,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,0,2,0
4,qm,blue,4308,5024,3560,88,88,29,15,Exited,Exited,Exited,14,0,1,2,29,4,0,0,2,0,0,0,0,25,None,Hang,None,NotLevel,30,0,0,0
5,qm,red,6978,3683,1241,87,87,47,15,Exited,Exited,Exited,32,0,0,8,22,17,0,1,7,0,1,0,0,5,None,None,Park,IsLevel,18,1,0,0
5,qm,blue,6009,7690,4618,38,38,5,5,None,None,Exited,0,0,0,0,30,20,0,0,10,0,1,0,0,10,Park,None,Park,IsLevel,3,1,1,0
6,qm,red,746,5834,2405,118,118,22,10,Exited,Exited,None,12,0,0,3,81,16,2,0,7,0,1,0,0,65,Hang,Hang,None,IsLevel,15,0,1,0
6,qm,blue,2198,6977,4519,89,89,22,10,Exited,None,Exited,12,0,0,3,52,37,6,5,8,0,1,0,0,15,Park,Park,Park,IsLevel,15,0,1,0
7,qm,red,1241,6009,1114,52,52,26,10,Exited,Exited,None,16,0,2,1,26,21,1,2,7,0,1,0,0,5,None,Park,None,IsLevel,0,0,0,0
7,qm,blue,5032,7475,7558,125,125,26,10,None,Exited,Exited,16,0,0,4,99,34,0,0,17,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
8,qm,red,2852,3560,7690,18,18,13,5,None,Exited,None,8,0,0,2,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,1,1,0
8,qm,blue,4308,6978,4343,99,99,26,10,Exited,Exited,None,16,2,0,3,55,20,0,0,10,0,1,0,0,35,Hang,Park,Park,NotLevel,18,0,0,0
9,qm,red,3571,7623,1285,44,44,22,10,None,Exited,Exited,12,0,0,3,22,22,0,0,11,0,1,0,0,0,None,None,None,IsLevel,0,0,1,0
9,qm,blue,5024,2386,6878,91,91,39,15,Exited,Exited,Exited,24,0,0,6,37,7,0,1,2,0,1,0,0,30,Hang,None,Park,NotLevel,15,0,0,0
10,qm,red,4343,7174,2198,63,63,22,10,None,Exited,Exited,12,0,0,3,41,31,0,1,14,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
10,qm,blue,5031,5032,6978,23,23,18,10,Exited,None,Exited,8,0,0,2,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
11,qm,red,7690,6878,4519,128,128,14,10,None,Exited,Exited,4,0,0,1,63,23,0,1,10,0,1,0,0,40,None,None,Hang,IsLevel,51,0,0,0
11,qm,blue,4618,5834,1285,30,30,15,15,Exited,Exited,Exited,0,0,0,0,15,10,0,0,5,0,0,0,0,5,None,Park,None,IsLevel,0,2,3,0
12,qm,red,6009,3560,746,90,90,29,15,Exited,Exited,Exited,14,3,0,2,61,31,5,0,13,0,1,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
12,qm,blue,2852,3571,2405,69,69,22,10,Exited,None,Exited,12,0,0,3,47,2,0,0,1,0,0,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
13,qm,red,6977,4308,1241,67,67,33,15,Exited,Exited,Exited,18,3,0,3,31,6,0,0,3,0,1,0,0,25,None,Hang,None,NotLevel,3,1,1,0
13,qm,blue,5031,5024,7174,126,126,45,15,Exited,Exited,Exited,30,0,3,3,63,28,0,2,11,0,1,0,0,35,Park,Hang,Park,NotLevel,18,1,0,0
14,qm,red,7475,3683,7623,109,109,15,15,Exited,Exited,Exited,0,0,0,0,94,29,0,1,13,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,0,0
14,qm,blue,7558,2386,1114,107,107,43,15,Exited,Exited,Exited,28,0,0,7,64,54,0,8,15,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
15,qm,red,2198,1241,5834,122,122,27,15,Exited,Exited,Exited,12,0,0,3,89,24,0,0,12,0,1,0,0,65,None,Hang,Hang,IsLevel,6,0,1,0
15,qm,blue,2852,4618,4343,50,50,19,5,Exited,None,None,14,0,1,2,16,6,0,0,3,0,0,0,0,10,Park,None,Park,IsLevel,15,2,0,0
16,qm,red,7690,1285,1114,99,99,40,10,None,Exited,Exited,30,0,1,6,59,9,0,3,0,0,1,0,0,50,None,Hang,Hang,NotLevel,0,1,2,0
16,qm,blue,2405,5032,4519,97,97,26,10,Exited,None,Exited,16,0,0,4,38,28,0,0,14,0,1,0,0,10,Park,Park,None,IsLevel,33,0,0,0
17,qm,red,6978,3571,5031,36,36,27,15,Exited,Exited,Exited,12,0,0,3,9,4,0,0,2,0,0,0,0,5,Park,None,None,IsLevel,0,2,0,0
17,qm,blue,2386,3683,3560,90,90,26,10,None,Exited,Exited,16,0,2,1,58,28,0,0,14,0,1,0,0,30,Park,Hang,None,NotLevel,6,0,0,0
18,qm,red,5024,6977,7558,151,151,45,15,Exited,Exited,Exited,30,0,1,6,97,47,10,3,14,0,1,0,0,50,Hang,Park,Park,IsLevel,9,4,1,0
18,qm,blue,7623,7174,6009,84,84,30,10,Exited,Exited,None,20,0,0,5,27,22,3,1,8,0,1,0,0,5,None,Park,None,IsLevel,27,3,0,0
19,qm,red,4308,3571,6878,63,63,21,15,Exited,Exited,Exited,6,3,0,0,42,12,0,2,3,0,0,0,0,30,Hang,None,Park,NotLevel,0,0,0,0
19,qm,blue,1241,746,7475,100,100,39,15,Exited,Exited,Exited,24,0,0,6,61,11,0,1,4,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
20,qm,red,4343,7558,1285,113,113,28,10,None,Exited,Exited,18,0,1,3,85,50,0,2,22,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
20,qm,blue,6009,6978,5024,98,98,34,10,None,Exited,Exited,24,0,0,6,64,19,0,1,8,0,1,0,0,45,None,Park,Hang,IsLevel,0,0,0,0
21,qm,red,3560,7623,4519,110,110,27,15,Exited,Exited,Exited,12,0,0,3,83,38,1,5,11,0,1,0,0,45,Park,None,Hang,IsLevel,0,0,1,0
21,qm,blue,3683,6878,4618,76,76,29,15,Exited,Exited,Exited,14,0,1,2,32,22,0,0,11,0,1,0,0,10,Park,Park,None,NotLevel,15,0,0,0
22,qm,red,746,5031,2386,73,73,21,15,Exited,Exited,Exited,6,3,0,0,52,7,5,0,1,0,1,0,0,45,Hang,None,Park,IsLevel,0,0,0,0
22,qm,blue,6977,2405,1114,94,94,39,15,Exited,Exited,Exited,24,0,2,3,55,25,11,2,4,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
23,qm,red,4308,5032,7690,41,41,11,5,Exited,None,None,6,3,0,0,30,0,0,0,0,0,0,0,0,30,Hang,Park,None,NotLevel,0,0,4,0
23,qm,blue,2198,2852,7475,162,162,31,15,Exited,Exited,Exited,16,0,0,4,71,6,0,0,3,0,0,0,0,65,None,Hang,Hang,IsLevel,60,0,0,0
24,qm,red,5834,4343,3683,145,145,39,15,Exited,Exited,Exited,24,0,0,6,106,56,0,4,22,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,0,0
24,qm,blue,3560,7174,2386,44,44,10,10,Exited,None,Exited,0,0,0,0,34,9,0,3,0,0,0,0,0,25,None,None,Hang,NotLevel,0,0,0,0
25,qm,red,3571,5024,2198,51,51,19,15,Exited,Exited,Exited,4,0,0,1,32,2,0,0,1,0,0,0,0,30,None,Hang,Park,NotLevel,0,0,0,0
25,qm,blue,7475,6009,6977,30,30,20,10,Exited,None,Exited,10,0,1,1,10,5,3,0,1,0,0,0,0,5,Park,None,None,NotLevel,0,0,0,0
26,qm,red,1285,746,6978,134,134,43,15,Exited,Exited,Exited,28,0,0,7,58,23,0,1,10,0,1,0,0,35,Hang,Park,Park,NotLevel,33,1,0,0
26,qm,blue,2852,5031,7623,52,52,27,15,Exited,Exited,Exited,12,0,0,3,22,7,1,0,3,0,0,0,0,15,Park,Park,Park,NotLevel,3,1,2,0
27,qm,red,7558,4519,4308,210,210,45,15,Exited,Exited,Exited,30,3,0,6,150,60,3,3,24,0,1,0,0,90,Hang,Hang,Hang,IsLevel,15,1,0,0
27,qm,blue,5032,6878,5834,71,71,24,10,None,Exited,Exited,14,1,0,3,44,29,0,3,10,0,1,0,0,15,Park,Park,Park,IsLevel,3,0,1,0
28,qm,red,1114,4618,7174,101,101,29,15,Exited,Exited,Exited,14,0,1,2,57,17,0,1,7,0,1,0,0,40,Hang,None,None,IsLevel,15,0,1,0
28,qm,blue,7690,1241,2405,22,22,5,5,None,Exited,None,0,0,0,0,2,2,0,0,1,0,0,0,0,0,None,None,None,IsLevel,15,0,1,0
29,qm,red,1285,5032,5024,72,72,18,10,Exited,None,Exited,8,0,0,2,54,14,0,0,7,0,1,0,0,40,Hang,None,None,IsLevel,0,2,0,0
29,qm,blue,2198,6978,2386,67,67,29,15,Exited,Exited,Exited,14,0,1,2,32,32,0,4,10,0,1,0,0,0,None,None,None,IsLevel,6,0,0,0
30,qm,red,3683,5031,6009,144,144,19,15,Exited,Exited,Exited,4,0,0,1,95,55,0,3,23,0,1,0,0,40,Hang,None,None,IsLevel,30,0,0,0
30,qm,blue,5834,746,7174,132,132,41,15,Exited,Exited,Exited,26,0,1,5,91,41,0,3,16,0,1,0,0,50,Hang,Park,Park,IsLevel,0,0,2,0
31,qm,red,3571,7690,6977,40,40,10,10,Exited,None,Exited,0,0,0,0,12,7,7,0,0,0,0,0,0,5,None,Park,None,IsLevel,18,0,0,0
31,qm,blue,3560,4343,7558,73,73,15,15,Exited,Exited,Exited,0,0,0,0,58,48,0,0,24,0,1,0,0,10,None,Park,Park,NotLevel,0,1,1,0
32,qm,red,2405,7475,4308,88,88,21,15,Exited,Exited,Exited,6,3,0,0,37,7,5,0,1,0,1,0,0,30,None,Park,Hang,NotLevel,30,0,0,0
32,qm,blue,7623,4519,4618,107,107,23,15,Exited,Exited,Exited,8,0,0,2,84,34,0,4,11,0,1,0,0,50,Park,Hang,Park,IsLevel,0,0,2,0
33,qm,red,6878,2852,746,76,76,27,15,Exited,Exited,Exited,12,0,0,3,49,19,0,5,2,0,1,0,0,30,None,Park,Hang,NotLevel,0,2,0,0
33,qm,blue,1241,1114,4343,104,104,47,15,Exited,Exited,Exited,32,0,0,8,51,41,0,3,16,0,1,0,0,10,Park,Park,None,IsLevel,6,0,0,0
34,qm,red,6977,7475,5032,58,58,14,10,Exited,Exited,None,4,0,0,1,29,14,14,0,0,0,1,0,0,15,Park,Park,Park,IsLevel,15,1,0,0
34,qm,blue,6978,5834,7690,90,90,39,15,Exited,Exited,Exited,24,0,0,6,48,18,0,0,9,0,1,0,0,30,Hang,None,Park,NotLevel,3,0,1,0
35,qm,red,2405,2198,7558,85,85,35,15,Exited,Exited,Exited,20,0,0,5,50,5,0,1,1,0,0,0,0,45,None,Park,Hang,IsLevel,0,0,1,0
35,qm,blue,1241,1285,6878,138,138,31,15,Exited,Exited,Exited,16,0,0,4,92,62,0,2,28,0,1,0,0,30,None,Hang,Park,NotLevel,15,0,0,0
36,qm,red,3560,5024,2852,132,132,44,10,None,Exited,Exited,34,0,1,7,88,23,0,1,10,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,1,0
36,qm,blue,1114,4308,5031,92,92,39,15,Exited,Exited,Exited,24,0,2,3,38,8,1,1,2,0,1,0,0,30,Park,Hang,None,NotLevel,15,0,0,0
37,qm,red,2386,4618,3571,29,29,10,10,Exited,Exited,None,0,0,0,0,19,9,0,3,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,0,0
37,qm,blue,4519,6009,7174,131,131,59,15,Exited,Exited,Exited,44,0,2,8,72,27,0,1,12,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
38,qm,red,3683,1285,2405,158,158,26,10,Exited,None,Exited,16,0,2,1,117,52,0,0,26,0,1,0,0,65,Hang,Hang,None,IsLevel,15,0,1,0
38,qm,blue,7623,746,4308,52,52,21,15,Exited,Exited,Exited,6,3,0,0,16,6,6,0,0,0,1,0,0,10,None,Park,Park,IsLevel,15,0,1,0
39,qm,red,7475,2386,3560,56,56,15,15,Exited,Exited,Exited,0,0,0,0,38,8,0,0,4,0,0,0,0,30,Hang,Park,None,NotLevel,3,0,3,0
39,qm,blue,7174,6977,6978,124,124,37,15,Exited,Exited,Exited,22,0,1,4,42,27,9,0,9,0,1,0,0,15,Park,Park,Park,IsLevel,45,1,0,0
40,qm,red,4519,2852,1241,149,149,57,15,Exited,Exited,Exited,42,0,3,6,92,27,0,3,9,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,1,0
40,qm,blue,7558,2198,3571,94,94,26,10,Exited,Exited,None,16,0,0,4,53,8,0,0,4,0,0,0,0,45,Hang,None,Park,IsLevel,15,0,0,0
41,qm,red,6009,4343,5834,78,78,39,15,Exited,Exited,Exited,24,0,0,6,21,6,0,0,3,0,1,0,0,15,Park,Park,Park,IsLevel,18,3,4,0
41,qm,blue,5024,7690,3683,186,186,27,15,Exited,Exited,Exited,12,0,0,3,90,60,0,6,21,0,1,0,0,30,Park,None,Hang,NotLevel,69,1,1,0
42,qm,red,6878,5031,4618,77,77,15,15,Exited,Exited,Exited,0,0,0,0,29,24,0,4,6,0,1,0,0,5,None,None,Park,IsLevel,33,0,0,0
42,qm,blue,5032,1114,7623,85,85,32,10,None,Exited,Exited,22,0,3,1,53,23,2,1,9,0,1,0,0,30,None,Hang,Park,NotLevel,0,1,2,0
43,qm,red,2386,6009,6977,93,93,34,10,Exited,None,Exited,24,0,0,6,59,14,2,0,6,0,1,0,0,45,Hang,Park,None,IsLevel,0,1,2,0
43,qm,blue,7690,2198,4308,69,69,21,15,Exited,Exited,Exited,6,3,0,0,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,33,0,0,0
