match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,5528,3985,3550,82,82,29,5,Exited,None,None,24,0,2,3,53,23,0,3,7,0,1,0,0,30,Hang,None,Park,NotLevel,0,0,2,0
1,qm,blue,3986,4947,2013,96,96,33,15,Exited,Exited,Exited,18,0,1,3,33,18,0,0,9,0,1,0,0,15,Park,Park,Park,NotLevel,30,0,0,0
2,qm,red,2016,8166,4952,40,40,14,10,Exited,None,Exited,4,0,0,1,26,16,0,0,8,0,1,0,0,10,Park,None,Park,IsLevel,0,0,1,0
2,qm,blue,4735,3996,3990,147,147,31,15,Exited,Exited,Exited,16,0,0,4,101,36,0,2,15,0,1,0,0,65,None,Hang,Hang,IsLevel,15,0,0,0
3,qm,red,2626,3360,4942,63,63,27,15,Exited,Exited,Exited,12,0,0,3,30,20,0,0,10,0,1,0,0,10,Park,None,Park,NotLevel,6,2,0,0
3,qm,blue,5618,3386,3988,102,102,30,10,Exited,None,Exited,20,0,0,5,66,16,1,1,6,0,1,0,0,50,Hang,None,Hang,NotLevel,6,2,0,0
4,qm,red,4955,7605,5179,72,72,36,10,None,Exited,Exited,26,0,1,5,36,6,2,0,2,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,2,0
4,qm,blue,296,2095,5570,116,116,16,10,Exited,Exited,None,6,3,0,0,70,5,1,0,2,0,0,0,0,65,Hang,Hang,None,IsLevel,30,0,0,0
5,qm,red,3544,2234,5618,82,82,35,15,Exited,Exited,Exited,20,0,2,2,32,2,0,0,1,0,0,0,0,30,None,Park,Hang,NotLevel,15,1,0,0
5,qm,blue,1772,3117,3990,84,84,53,15,Exited,Exited,Exited,38,0,1,8,28,18,0,2,6,0,1,0,0,10,Park,Park,None,NotLevel,3,0,1,0
6,qm,red,5528,2013,4942,119,119,35,15,Exited,Exited,Exited,20,0,2,2,84,29,0,1,13,0,1,0,0,55,Hang,Park,Hang,NotLevel,0,0,1,0
6,qm,blue,2016,7605,2626,58,58,33,15,Exited,Exited,Exited,18,0,1,3,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,15,0,0,0
7,qm,red,4947,5570,2234,129,129,38,10,Exited,None,Exited,28,0,0,7,76,31,0,3,11,0,1,0,0,45,None,Hang,Park,IsLevel,15,0,1,0
7,qm,blue,3985,3360,3996,149,149,41,15,Exited,Exited,Exited,26,0,1,5,93,58,0,8,17,0,1,0,0,35,Park,Park,Hang,NotLevel,15,0,1,0
8,qm,red,5179,4735,3544,49,49,19,15,Exited,Exited,Exited,4,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,30,0,3,0
8,qm,blue,3550,8166,1772,130,130,26,10,Exited,None,Exited,16,0,0,4,59,14,0,0,7,0,1,0,0,45,None,Park,Hang,IsLevel,45,0,2,0
9,qm,red,3386,296,3988,105,105,36,10,None,Exited,Exited,26,3,0,5,54,19,4,1,6,0,1,0,0,35,Park,Hang,Park,NotLevel,15,0,1,0
9,qm,blue,2095,4955,3986,67,67,5,5,Exited,None,None,0,0,0,0,47,17,1,0,8,0,1,0,0,30,Park,None,Hang,NotLevel,15,0,1,0
10,qm,red,5570,4952,2013,115,115,45,15,Exited,Exited,Exited,30,0,3,3,70,35,0,5,10,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
10,qm,blue,3117,3544,5179,84,84,18,10,Exited,Exited,None,8,0,0,2,66,16,0,0,8,0,1,0,0,50,Hang,Hang,None,NotLevel,0,0,0,0
11,qm,red,4942,3990,7605,80,80,35,15,Exited,Exited,Exited,20,0,2,2,45,15,0,1,6,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,1,0
11,qm,blue,296,4947,3985,77,77,32,10,Exited,Exited,None,22,3,0,4,30,20,0,2,7,0,1,0,0,10,Park,Park,None,NotLevel,15,0,0,0
12,qm,red,4735,5528,4955,109,109,22,10,None,Exited,Exited,12,0,0,3,72,27,0,3,9,0,1,0,0,45,Park,Hang,None,IsLevel,15,0,3,0
12,qm,blue,3996,2234,3988,121,121,27,15,Exited,Exited,Exited,12,0,0,3,49,39,0,3,15,0,1,0,0,10,Park,Park,None,NotLevel,45,0,1,0
13,qm,red,3117,2626,3986,191,191,24,10,Exited,None,Exited,14,0,1,2,62,32,0,2,13,0,1,0,0,30,Park,None,Hang,NotLevel,105,0,0,0
13,qm,blue,8166,5618,3360,135,135,52,10,None,Exited,Exited,42,0,1,9,83,48,0,4,18,0,1,0,0,35,Park,Hang,Park,NotLevel,0,0,7,0
14,qm,red,3550,4952,2095,87,87,23,5,None,Exited,None,18,0,1,3,58,28,0,0,14,0,1,0,0,30,None,Park,Hang,NotLevel,6,0,0,0
14,qm,blue,3386,1772,2016,61,61,27,15,Exited,Exited,Exited,12,0,0,3,34,29,0,3,10,0,1,0,0,5,None,Park,None,NotLevel,0,2,0,0
15,qm,red,3988,2626,8166,51,51,34,10,Exited,Exited,None,24,0,0,6,17,12,0,0,6,0,1,0,0,5,Park,None,None,IsLevel,0,3,1,0
15,qm,blue,5528,3544,3360,147,147,38,10,Exited,None,Exited,28,0,0,7,85,40,0,6,11,0,1,0,0,45,Hang,None,Park,IsLevel,24,0,0,0
16,qm,red,7605,3117,2095,128,128,29,15,Exited,Exited,Exited,14,0,1,2,81,6,0,0,3,0,0,0,0,75,Hang,Hang,Hang,NotLevel,18,0,1,0
16,qm,blue,4947,3550,2234,77,77,28,10,Exited,None,Exited,18,0,1,3,34,4,0,0,2,0,0,0,0,30,None,Park,Hang,NotLevel,15,1,1,0
17,qm,red,1772,2013,4955,46,46,10,10,Exited,Exited,None,0,0,0,0,36,6,0,0,3,0,0,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
17,qm,blue,4735,3986,2016,106,106,31,15,Exited,Exited,Exited,16,0,0,4,75,20,7,1,5,0,1,0,0,55,Park,Hang,Hang,NotLevel,0,0,0,0
18,qm,red,3985,4942,5618,95,95,23,15,Exited,Exited,Exited,8,0,0,2,72,7,1,0,3,0,0,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
18,qm,blue,5179,3996,296,122,122,41,15,Exited,Exited,Exited,26,3,0,5,81,31,5,4,7,0,1,0,0,50,Park,Hang,Park,IsLevel,0,0,0,0
19,qm,red,5570,3990,2234,122,122,43,15,Exited,Exited,Exited,28,0,0,7,79,4,0,0,2,0,1,0,0,75,Hang,Hang,Hang,NotLevel,0,0,3,0
19,qm,blue,4952,3386,3544,131,131,29,15,Exited,Exited,Exited,14,0,1,2,57,42,0,0,21,0,1,0,0,15,Park,Park,Park,NotLevel,45,0,0,0
20,qm,red,296,3360,3986,131,131,47,15,Exited,Exited,Exited,32,3,1,5,84,54,0,6,18,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
20,qm,blue,5528,2016,3985,93,93,42,10,Exited,Exited,None,32,0,2,5,51,21,5,0,8,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
21,qm,red,4952,5618,3996,183,183,27,15,Exited,Exited,Exited,12,0,0,3,123,58,0,2,26,0,1,0,0,65,None,Hang,Hang,IsLevel,33,0,0,0
21,qm,blue,3386,2013,7605,77,77,35,15,Exited,Exited,Exited,20,0,0,5,42,32,0,2,13,0,1,0,0,10,Park,None,Park,NotLevel,0,1,2,0
22,qm,red,3117,5570,4735,93,93,22,10,Exited,None,Exited,12,0,0,3,71,16,0,2,5,0,1,0,0,55,Hang,Hang,Park,NotLevel,0,2,0,0
22,qm,blue,2626,4947,2095,91,91,27,15,Exited,Exited,Exited,12,0,0,3,58,28,0,0,14,0,1,0,0,30,Park,None,Hang,NotLevel,6,0,0,0
23,qm,red,5179,1772,3988,82,82,41,15,Exited,Exited,Exited,26,0,1,5,41,16,0,2,5,0,1,0,0,25,None,Hang,None,NotLevel,0,0,4,0
23,qm,blue,4942,3990,8166,192,192,30,10,Exited,Exited,None,20,0,0,5,102,37,0,1,17,0,1,0,0,65,Hang,Hang,None,IsLevel,60,0,0,0
24,qm,red,3550,2095,3386,36,36,22,10,None,Exited,Exited,12,0,0,3,14,4,0,0,2,0,0,0,0,10,Park,Park,None,IsLevel,0,1,1,0
24,qm,blue,4955,5570,3985,54,54,5,5,Exited,None,None,0,0,0,0,31,1,1,0,0,0,0,0,0,30,Park,Hang,None,NotLevel,18,0,0,0
25,qm,red,4947,3360,3990,138,138,47,15,Exited,Exited,Exited,32,0,2,5,88,83,0,9,28,0,1,0,0,5,None,Park,None,IsLevel,3,0,0,0
25,qm,blue,3996,5618,2013,122,122,31,15,Exited,Exited,Exited,16,0,0,4,91,41,0,3,16,0,1,0,0,50,Hang,Hang,None,NotLevel,0,1,0,0
26,qm,red,296,4952,2626,89,89,31,15,Exited,Exited,Exited,16,0,0,4,58,43,0,1,20,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
26,qm,blue,1772,5528,4942,116,116,39,15,Exited,Exited,Exited,24,0,0,6,77,22,0,0,11,0,1,0,0,55,Hang,Hang,Park,NotLevel,0,0,0,0
27,qm,red,2016,5179,3550,56,56,30,10,Exited,Exited,None,20,0,0,5,20,10,6,0,2,0,1,0,0,10,Park,Park,None,IsLevel,6,0,1,0
27,qm,blue,4735,3117,3988,116,116,39,15,Exited,Exited,Exited,24,0,0,6,62,32,0,4,10,0,1,0,0,30,None,Hang,Park,NotLevel,15,2,0,0
28,qm,red,4955,3544,8166,48,48,14,10,Exited,Exited,None,4,0,0,1,34,4,2,0,1,0,0,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
28,qm,blue,3986,2234,7605,179,179,51,15,Exited,Exited,Exited,36,0,2,6,128,38,0,2,16,0,1,0,0,90,Hang,Hang,Hang,IsLevel,0,0,0,0
29,qm,red,5618,3990,2016,108,108,21,5,None,Exited,None,16,0,0,4,69,19,5,0,7,0,1,0,0,50,Hang,Hang,None,NotLevel,18,0,0,0
29,qm,blue,5570,2626,5179,65,65,39,15,Exited,Exited,Exited,24,0,0,6,26,11,0,1,4,0,1,0,0,15,Park,Park,Park,NotLevel,0,1,1,0
30,qm,red,2095,1772,3544,70,70,27,15,Exited,Exited,Exited,12,0,0,3,43,28,0,4,8,0,1,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
30,qm,blue,296,2013,4735,35,35,17,5,None,Exited,None,12,0,0,3,18,18,0,0,9,0,1,0,0,0,None,None,None,IsLevel,0,0,0,0
31,qm,red,4947,3386,4955,105,105,15,15,Exited,Exited,Exited,0,0,0,0,60,15,1,0,7,0,0,0,0,45,Park,Hang,None,IsLevel,30,0,0,0
31,qm,blue,7605,3550,3360,74,74,36,10,Exited,None,Exited,26,0,1,5,38,28,0,4,8,0,1,0,0,10,Park,Park,None,NotLevel,0,0,2,0
32,qm,red,2234,5528,8166,136,136,44,10,Exited,Exited,None,34,0,3,4,86,36,0,2,15,0,1,0,0,50,Hang,Hang,None,NotLevel,6,0,0,0
32,qm,blue,3117,3985,4952,107,107,30,10,Exited,None,Exited,20,0,2,2,77,27,0,1,12,0,1,0,0,50,Hang,None,Hang,NotLevel,0,2,0,0
33,qm,red,3996,3986,1772,119,119,49,15,Exited,Exited,Exited,34,0,3,4,70,35,0,3,13,0,1,0,0,35,Hang,Park,Park,NotLevel,0,1,0,0
33,qm,blue,4942,3988,3550,92,92,46,10,Exited,Exited,None,36,0,2,6,43,33,0,3,12,0,1,0,0,10,Park,Park,None,NotLevel,3,0,0,0
34,qm,red,5618,296,2626,141,141,43,15,Exited,Exited,Exited,28,0,0,7,80,5,3,0,1,0,1,0,0,75,Hang,Hang,Hang,NotLevel,18,0,1,0
34,qm,blue,4952,4735,4947,88,88,10,10,Exited,Exited,None,0,0,0,0,63,28,0,0,14,0,1,0,0,35,Hang,Park,Park,NotLevel,15,1,1,0
35,qm,red,3988,3996,2013,121,121,25,15,Exited,Exited,Exited,10,0,1,1,66,31,0,3,11,0,1,0,0,35,Park,Hang,Park,NotLevel,30,0,1,0
35,qm,blue,3386,3986,2234,115,115,35,15,Exited,Exited,Exited,20,0,0,5,65,15,0,1,6,0,1,0,0,50,None,Hang,Hang,NotLevel,15,0,2,0
36,qm,red,4942,2016,3117,126,126,25,15,Exited,Exited,Exited,10,0,1,1,101,36,0,0,18,0,1,0,0,65,None,Hang,Hang,IsLevel,0,4,3,0
36,qm,blue,3360,7605,5570,120,120,41,15,Exited,Exited,Exited,26,0,1,5,22,22,0,0,11,0,1,0,0,0,None,None,None,NotLevel,57,0,0,0
37,qm,red,3985,2095,3544,42,42,15,15,Exited,Exited,Exited,0,0,0,0,27,17,0,1,7,0,0,0,0,10,None,Park,Park,NotLevel,0,0,0,0
37,qm,blue,3990,5528,5179,144,144,46,10,Exited,Exited,None,36,0,0,9,98,33,2,3,11,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,0,0
38,qm,red,8166,4735,7605,36,36,22,10,None,Exited,Exited,12,0,0,3,14,9,0,1,3,0,0,0,0,5,None,Park,None,IsLevel,0,1,2,0
38,qm,blue,4955,2016,5618,100,100,26,10,None,Exited,Exited,16,0,0,4,41,16,4,0,6,0,1,0,0,25,None,None,Hang,NotLevel,33,0,0,0
39,qm,red,3360,3986,5528,113,113,31,15,Exited,Exited,Exited,16,0,0,4,82,17,0,3,4,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
39,qm,blue,2234,5179,4952,77,77,45,15,Exited,Exited,Exited,30,0,1,6,32,22,4,0,9,0,1,0,0,10,None,Park,Park,NotLevel,0,0,0,0
40,qm,red,8166,2013,3985,45,45,18,10,None,Exited,Exited,8,0,0,2,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,15,3,2,0
40,qm,blue,3988,2095,5570,118,118,33,15,Exited,Exited,Exited,18,0,1,3,46,16,0,0,8,0,1,0,0,30,None,Hang,Park,NotLevel,39,0,1,0
41,qm,red,3544,3996,4947,121,121,49,15,Exited,Exited,Exited,34,0,3,4,72,22,0,2,8,0,1,0,0,50,Park,Hang,Park,IsLevel,0,0,0,0
41,qm,blue,4942,4955,1772,70,70,29,15,Exited,Exited,Exited,14,0,1,2,41,16,1,1,6,0,1,0,0,25,Hang,None,None,NotLevel,0,0,0,0
42,qm,red,3990,2626,3386,91,91,39,15,Exited,Exited,Exited,24,0,0,6,37,27,0,1,12,0,1,0,0,10,Park,Park,None,NotLevel,15,0,0,0
42,qm,blue,3550,296,3117,72,72,22,10,None,Exited,Exited,12,0,0,3,50,20,5,1,6,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,1,0
43,qm,red,7605,4947,1772,97,97,47,15,Exited,Exited,Exited,32,0,0,8,50,35,0,3,13,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
43,qm,blue,5570,8166,3986,75,75,14,10,Exited,None,Exited,4,0,0,1,61,26,0,0,13,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
44,qm,red,2234,3985,2626,122,122,30,10,Exited,None,Exited,20,0,0,5,77,12,0,0,6,0,1,0,0,65,Hang,None,Hang,IsLevel,15,0,0,0
44,qm,blue,2013,5179,3550,62,62,34,10,Exited,Exited,None,24,0,0,6,28,18,0,0,9,0,1,0,0,10,Park,Park,None,IsLevel,0,0,1,0
45,qm,red,3360,3117,3386,107,107,39,15,Exited,Exited,Exited,24,0,0,6,53,43,0,5,14,0,1,0,0,10,None,Park,Park,NotLevel,15,0,0,0
45,qm,blue,3544,4942,296,86,86,21,15,Exited,Exited,Exited,6,3,0,0,65,30,7,1,10,0,1,0,0,35,Park,Hang,Park,NotLevel,0,0,1,0
46,qm,red,4952,3988,5528,225,225,53,15,Exited,Exited,Exited,38,0,1,8,127,37,0,5,11,0,1,0,0,90,Hang,Hang,Hang,IsLevel,45,0,0,0
46,qm,blue,2095,4735,5618,67,67,30,10,None,Exited,Exited,20,0,0,5,37,12,0,0,6,0,1,0,0,25,None,None,Hang,NotLevel,0,0,3,0
47,qm,red,3990,2016,296,73,73,45,15,Exited,Exited,Exited,30,3,0,6,28,3,3,0,0,0,1,0,0,25,Hang,None,None,NotLevel,0,0,6,0
47,qm,blue,3996,4955,3550,173,173,34,10,Exited,Exited,None,24,0,2,3,49,19,1,2,6,0,1,0,0,30,Hang,Park,None,NotLevel,90,0,0,0
48,qm,red,3986,5570,3544,94,94,27,15,Exited,Exited,Exited,12,0,0,3,40,10,0,0,5,0,0,0,0,30,Park,Hang,None,NotLevel,27,0,0,0
48,qm,blue,4942,2095,4735,59,59,15,15,Exited,Exited,Exited,0,0,0,0,44,14,0,0,7,0,0,0,0,30,Hang,Park,None,NotLevel,0,4,1,0
49,qm,red,7605,3996,5528,124,124,47,15,Exited,Exited,Exited,32,0,2,5,77,27,0,1,12,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
49,qm,blue,8166,3117,3386,69,69,22,10,None,Exited,Exited,12,0,0,3,47,22,0,0,11,0,1,0,0,25,None,Hang,None,NotLevel,0,0,0,0
50,qm,red,3360,3988,4955,129,129,45,15,Exited,Exited,Exited,30,0,3,3,66,36,2,0,17,0,1,0,0,30,Hang,Park,None,NotLevel,18,0,1,0
50,qm,blue,1772,3985,4952,123,123,39,15,Exited,Exited,Exited,24,0,0,6,69,24,0,0,12,0,1,0,0,45,Park,None,Hang,IsLevel,15,1,1,0
51,qm,red,5618,5179,4947,112,112,43,15,Exited,Exited,Exited,28,0,0,7,39,9,1,0,4,0,1,0,0,30,Hang,None,Park,NotLevel,30,0,2,0
51,qm,blue,2013,2234,2016,146,146,31,15,Exited,Exited,Exited,16,0,0,4,85,10,0,0,5,0,1,0,0,75,Hang,Hang,Hang,NotLevel,30,0,2,0
52,qm,red,2626,3550,4735,90,90,23,15,Exited,Exited,Exited,8,0,0,2,67,22,0,0,11,0,1,0,0,45,Hang,None,Park,IsLevel,0,0,1,0
52,qm,blue,3990,4942,4952,145,145,37,15,Exited,Exited,Exited,22,0,1,4,93,43,0,1,20,0,1,0,0,50,Hang,Hang,None,NotLevel,15,0,0,0
53,qm,red,2013,1772,296,116,116,35,15,Exited,Exited,Exited,20,2,0,4,66,11,4,1,2,0,1,0,0,55,Hang,Hang,Park,NotLevel,15,0,0,0
53,qm,blue,5179,8166,4947,58,58,26,10,Exited,None,Exited,16,0,0,4,32,22,3,1,8,0,1,0,0,10,Park,None,Park,IsLevel,0,0,1,0
54,qm,red,3986,5618,3117,132,132,41,15,Exited,Exited,Exited,26,0,1,5,91,41,0,3,16,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,3,0
54,qm,blue,5570,5528,3386,133,133,35,15,Exited,Exited,Exited,20,0,0,5,53,18,0,0,9,0,1,0,0,35,Park,Hang,Park,NotLevel,45,0,0,0
55,qm,red,3988,7605,3985,105,105,43,15,Exited,Exited,Exited,28,0,2,4,62,32,1,3,11,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
55,qm,blue,3544,2626,3996,92,92,35,15,Exited,Exited,Exited,20,0,0,5,57,27,0,1,12,0,1,0,0,30,None,Park,Hang,NotLevel,0,0,0,0
56,qm,red,2095,3990,2016,106,106,34,10,Exited,Exited,None,24,0,0,6,72,22,4,0,9,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,0,0
56,qm,blue,2234,4955,3360,96,96,39,15,Exited,Exited,Exited,24,0,0,6,57,47,2,5,15,0,1,0,0,10,Park,None,Park,IsLevel,0,0,0,0
