match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7830,6838,6435,52,52,24,10,None,Exited,Exited,14,0,1,2,22,12,0,0,6,0,1,0,0,10,Park,None,Park,NotLevel,6,1,0,0
1,qm,blue,8054,8127,8149,8,8,0,0,None,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,3,2,0,0
2,qm,red,8263,7296,7742,30,30,5,5,Exited,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,IsLevel,15,1,1,0
2,qm,blue,7292,6228,8420,49,49,21,5,None,Exited,None,16,0,0,4,10,0,0,0,0,0,0,0,0,10,Park,Park,None,NotLevel,18,0,1,0
3,qm,red,7481,6417,8242,54,54,24,10,Exited,None,Exited,14,0,1,2,30,0,0,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,0,3,0,0
3,qm,blue,8310,5655,8209,49,49,0,0,None,None,None,0,0,0,0,40,0,0,0,0,0,0,0,0,40,None,None,Hang,IsLevel,9,0,0,0
4,qm,red,6429,7035,8153,41,41,10,10,Exited,Exited,None,0,0,0,0,25,15,0,1,6,0,0,0,0,10,Park,Park,None,IsLevel,6,1,0,0
4,qm,blue,7672,7466,7575,25,25,5,5,None,None,Exited,0,0,0,0,17,2,0,0,1,0,0,0,0,15,Park,Park,Park,IsLevel,3,2,0,0
5,qm,red,5883,7576,7683,57,57,10,10,None,Exited,Exited,0,0,0,0,47,2,0,0,1,0,0,0,0,45,Park,Hang,None,IsLevel,0,0,0,0
5,qm,blue,8187,7071,8208,15,15,10,10,None,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
6,qm,red,6988,2905,8220,117,117,23,15,Exited,Exited,Exited,8,0,0,2,64,14,1,1,5,0,1,0,0,50,Park,Hang,Park,IsLevel,30,3,1,0
6,qm,blue,8056,8079,8173,68,68,26,10,Exited,Exited,None,16,0,2,1,18,8,0,2,1,0,0,0,0,10,None,Park,Park,IsLevel,24,0,2,0
7,qm,red,8264,5665,5993,87,87,23,15,Exited,Exited,Exited,8,0,0,2,34,4,0,0,2,0,0,0,0,30,Park,None,Hang,NotLevel,30,0,1,0
7,qm,blue,7729,6380,8058,25,25,0,0,None,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,IsLevel,15,0,2,0
8,qm,red,8070,6025,7469,94,94,10,10,Exited,Exited,None,0,0,0,0,60,5,0,1,1,0,0,0,0,55,Hang,Hang,Park,NotLevel,24,1,2,0
8,qm,blue,6430,7071,8261,38,38,0,0,None,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,Park,None,NotLevel,33,3,1,0
9,qm,red,6435,8153,7466,56,56,10,10,Exited,None,Exited,0,0,0,0,7,2,2,0,0,0,0,0,0,5,Park,None,None,IsLevel,39,1,1,0
9,qm,blue,6228,5655,7481,105,105,30,10,Exited,None,Exited,20,0,0,5,57,7,1,0,3,0,1,0,0,50,Hang,Park,Park,IsLevel,18,3,2,0
10,qm,red,8208,7830,8264,56,56,35,5,None,None,Exited,30,0,3,3,18,8,0,0,4,0,1,0,0,10,None,Park,Park,NotLevel,3,1,1,0
10,qm,blue,8173,8420,7035,23,23,0,0,None,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,18,1,0,0
11,qm,red,8263,8209,6380,55,55,5,5,Exited,None,None,0,0,0,0,32,2,0,0,1,0,0,0,0,30,Park,Hang,None,NotLevel,18,0,1,0
11,qm,blue,7469,6838,8220,46,46,10,10,None,Exited,Exited,0,0,0,0,21,11,0,1,4,0,0,0,0,10,None,Park,Park,IsLevel,15,1,1,0
12,qm,red,8261,7575,2905,60,60,19,15,Exited,Exited,Exited,4,0,0,1,23,8,0,0,4,0,0,0,0,15,Park,Park,Park,IsLevel,18,0,0,0
12,qm,blue,6417,6430,8187,38,38,8,0,None,None,None,8,0,0,2,30,0,0,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,0,1,1,0
13,qm,red,7683,8310,8079,86,86,29,15,Exited,Exited,Exited,14,0,1,2,24,9,0,1,3,0,0,0,0,15,Park,Park,Park,NotLevel,33,0,0,0
13,qm,blue,7729,5993,7672,26,26,8,0,None,None,None,8,0,0,2,18,8,0,0,4,0,0,0,0,10,None,Park,Park,NotLevel,0,1,2,0
14,qm,red,7292,6025,5883,99,99,15,15,Exited,Exited,Exited,0,0,0,0,69,4,0,0,2,0,0,0,0,65,Hang,Hang,None,IsLevel,15,3,1,0
14,qm,blue,8056,6429,8058,74,74,27,15,Exited,Exited,Exited,12,0,0,3,23,13,0,1,5,0,1,0,0,10,None,Park,Park,IsLevel,24,0,1,0
15,qm,red,5665,8127,7296,38,38,0,0,None,None,None,0,0,0,0,23,13,5,0,4,0,1,0,0,10,None,Park,Park,IsLevel,15,1,0,0
15,qm,blue,8070,8054,6988,72,72,15,15,Exited,Exited,Exited,0,0,0,0,54,4,0,0,2,0,0,0,0,50,Hang,Park,Park,IsLevel,3,0,1,0
16,qm,red,8149,8242,7729,55,55,27,15,Exited,Exited,Exited,12,0,0,3,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,18,0,0,0
