match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,5070,8150,5892,34,34,5,5,None,None,Exited,0,0,0,0,29,4,0,0,2,0,0,0,0,25,None,None,Hang,NotLevel,0,0,0,0
1,qm,blue,6111,7312,231,68,68,13,5,None,None,Exited,8,0,0,2,55,15,1,0,7,0,1,0,0,40,None,None,Hang,IsLevel,0,0,0,0
2,qm,red,5829,3103,2587,33,33,19,5,Exited,None,None,14,0,1,2,14,4,0,0,2,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
2,qm,blue,5923,3335,7418,30,30,5,5,None,None,Exited,0,0,0,0,10,5,5,0,0,0,0,0,0,5,None,None,Park,NotLevel,15,0,0,0
3,qm,red,8098,7616,441,53,53,5,5,None,Exited,None,0,0,0,0,33,3,3,0,0,0,0,0,0,30,None,Hang,Park,NotLevel,15,0,1,0
3,qm,blue,4587,7494,7115,44,44,5,5,None,Exited,None,0,0,0,0,24,14,0,2,4,0,0,0,0,10,Park,Park,None,IsLevel,15,0,1,0
4,qm,red,2882,418,6645,70,70,15,5,None,Exited,None,10,0,1,1,40,10,0,2,2,0,0,0,0,30,Park,Hang,None,NotLevel,15,0,1,0
4,qm,blue,5908,1255,5261,63,63,10,10,None,Exited,Exited,0,0,0,0,38,8,0,0,4,0,0,0,0,30,None,Park,Hang,NotLevel,15,0,1,0
5,qm,red,8210,8274,8370,30,30,10,10,Exited,Exited,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,15,1,1,0
5,qm,blue,5427,324,4328,139,139,29,15,Exited,Exited,Exited,14,0,1,2,92,22,9,1,5,0,1,0,0,70,Hang,Hang,Park,IsLevel,18,0,1,0
6,qm,red,4639,1255,4587,17,17,7,5,None,Exited,None,2,1,0,0,10,0,0,0,0,0,0,0,0,10,Park,Park,None,NotLevel,0,0,0,0
6,qm,blue,5070,7312,3103,0,0,0,0,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
7,qm,red,7418,5829,7115,68,68,10,10,Exited,Exited,None,0,0,0,0,13,3,3,0,0,0,0,0,0,10,Park,Park,None,IsLevel,45,0,0,0
7,qm,blue,231,8210,5923,39,39,15,15,Exited,Exited,Exited,0,0,0,0,24,14,0,0,7,0,0,0,0,10,Park,Park,None,NotLevel,0,0,3,0
8,qm,red,6111,2587,5427,90,90,18,10,None,Exited,Exited,8,0,0,2,72,7,0,1,2,0,0,0,0,65,None,Hang,Hang,IsLevel,0,1,1,0
8,qm,blue,5261,4639,8370,78,78,10,10,Exited,Exited,None,0,0,0,0,50,20,4,0,8,0,1,0,0,30,Park,Hang,None,NotLevel,18,0,0,0
9,qm,red,2882,4328,8150,67,67,5,5,None,Exited,None,0,0,0,0,17,12,10,0,1,0,1,0,0,5,None,None,Park,IsLevel,45,6,0,0
9,qm,blue,418,5892,7616,113,113,37,15,Exited,Exited,Exited,22,0,1,4,58,28,0,0,14,0,1,0,0,30,None,Hang,Park,NotLevel,18,0,3,0
10,qm,red,5908,324,441,73,73,18,10,None,Exited,Exited,8,0,0,2,52,7,0,1,2,0,0,0,0,45,Hang,Park,None,IsLevel,3,0,0,0
10,qm,blue,6645,8098,7494,22,22,17,5,None,None,Exited,12,0,0,3,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,1,0,0
11,qm,red,3335,5261,7616,65,65,10,10,None,Exited,Exited,0,0,0,0,40,10,3,1,2,0,0,0,0,30,None,Park,Hang,NotLevel,15,0,1,0
11,qm,blue,1255,8274,4328,55,55,21,15,Exited,Exited,Exited,6,3,0,0,19,9,9,0,0,0,1,0,0,10,Park,None,Park,IsLevel,15,0,1,0
12,qm,red,2882,8370,5427,80,80,5,5,None,None,Exited,0,0,0,0,60,15,5,0,5,0,1,0,0,45,Park,None,Hang,IsLevel,15,0,0,0
12,qm,blue,8098,4639,3103,24,24,5,5,None,Exited,None,0,0,0,0,19,14,0,0,7,0,0,0,0,5,Park,None,None,IsLevel,0,0,1,0
13,qm,red,6111,441,5892,140,140,24,10,None,Exited,Exited,14,0,1,2,53,28,0,0,14,0,1,0,0,25,None,None,Hang,NotLevel,63,0,0,0
13,qm,blue,2587,7115,8210,50,50,15,15,Exited,Exited,Exited,0,0,0,0,35,0,0,0,0,0,0,0,0,35,Hang,Park,Park,NotLevel,0,1,4,0
14,qm,red,231,6645,3335,82,82,22,10,Exited,Exited,None,12,0,0,3,60,20,2,0,9,0,1,0,0,40,Hang,None,None,IsLevel,0,1,0,0
14,qm,blue,418,4587,8150,95,95,22,10,Exited,Exited,None,12,0,0,3,70,25,0,3,8,0,1,0,0,45,Hang,Park,None,IsLevel,3,0,0,0
15,qm,red,7494,324,8274,92,92,23,15,Exited,Exited,Exited,8,0,0,2,69,24,0,0,12,0,1,0,0,45,Park,Hang,None,IsLevel,0,0,0,0
15,qm,blue,7418,5908,5070,9,9,5,5,Exited,None,None,0,0,0,0,4,4,2,0,1,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
16,qm,red,1255,5923,7312,24,24,16,10,Exited,Exited,None,6,3,0,0,8,3,3,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
16,qm,blue,5829,8210,5261,20,20,13,5,None,None,Exited,8,0,0,2,7,2,0,0,1,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
17,qm,red,231,5070,5427,214,214,26,10,Exited,None,Exited,16,0,0,4,59,14,0,0,7,0,1,0,0,45,Park,None,Hang,IsLevel,129,0,1,0
17,qm,blue,5908,8098,2882,25,25,0,0,None,None,None,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,IsLevel,15,3,8,0
18,qm,red,7115,418,5923,93,93,31,15,Exited,Exited,Exited,16,0,2,1,62,17,0,1,7,0,1,0,0,45,None,Hang,Park,IsLevel,0,0,1,0
18,qm,blue,324,7616,3335,81,81,14,10,Exited,Exited,None,4,0,0,1,52,22,1,1,9,0,1,0,0,30,Hang,Park,None,NotLevel,15,0,0,0
19,qm,red,4328,7494,5829,96,96,35,15,Exited,Exited,Exited,20,0,0,5,34,19,5,0,7,0,1,0,0,15,Park,Park,Park,IsLevel,27,0,0,0
19,qm,blue,4639,8150,2587,55,55,10,10,Exited,None,Exited,0,0,0,0,45,35,0,1,16,0,1,0,0,10,Park,Park,None,IsLevel,0,4,1,0
20,qm,red,441,4587,7418,31,31,15,15,Exited,Exited,Exited,0,0,0,0,16,11,9,0,1,0,1,0,0,5,None,None,Park,IsLevel,0,0,0,0
20,qm,blue,8370,6645,6111,17,17,5,5,None,Exited,None,0,0,0,0,12,7,4,1,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
21,qm,red,8274,3103,418,123,123,22,10,Exited,None,Exited,12,0,0,3,65,20,0,2,7,0,1,0,0,45,Park,None,Hang,IsLevel,36,2,0,0
21,qm,blue,7312,5892,8098,52,52,13,5,None,Exited,None,8,0,0,2,33,33,0,5,9,0,1,0,0,0,None,None,None,IsLevel,6,2,2,0
22,qm,red,8370,5829,5908,65,65,17,5,None,Exited,None,12,0,0,3,24,14,0,0,7,0,1,0,0,10,None,Park,Park,NotLevel,24,0,1,0
