match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,5726,3029,8019,10,10,5,5,Exited,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
1,qm,blue,3679,5894,4219,102,102,22,10,Exited,Exited,None,12,0,0,3,80,15,1,0,7,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,0,0
2,qm,red,7492,4332,6180,67,67,0,0,None,None,None,0,0,0,0,67,2,0,0,1,0,0,0,0,65,Hang,None,Hang,IsLevel,0,0,1,0
2,qm,blue,5047,6733,7088,15,15,0,0,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,15,0,0,0
3,qm,red,4063,8414,7521,24,24,5,5,Exited,None,None,0,0,0,0,19,14,0,2,4,0,0,0,0,5,Park,None,None,IsLevel,0,0,0,0
3,qm,blue,6315,2966,8369,14,14,9,5,None,Exited,None,4,0,0,1,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
4,qm,red,6830,1164,5960,21,21,5,5,None,Exited,None,0,0,0,0,16,6,6,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,1,0
4,qm,blue,2848,4597,4378,44,44,12,10,Exited,None,Exited,2,1,0,0,17,7,7,0,0,0,0,0,0,10,Park,None,Park,IsLevel,15,0,0,0
5,qm,red,7750,6315,6733,8,8,0,0,None,None,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,3,0,0,0
5,qm,blue,2158,2966,3679,93,93,31,15,Exited,Exited,Exited,16,0,2,1,62,12,0,0,6,0,1,0,0,50,Hang,None,Hang,NotLevel,0,1,0,0
6,qm,red,4597,5726,4219,20,20,10,10,None,Exited,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
6,qm,blue,1164,7521,5047,23,23,10,10,Exited,Exited,None,0,0,0,0,13,3,3,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
7,qm,red,8369,7492,5960,20,20,10,10,Exited,None,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,Park,None,Park,IsLevel,0,1,0,0
