match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7535,148,7119,163,163,40,10,None,Exited,Exited,30,3,0,6,93,48,0,6,15,0,1,0,0,45,None,Hang,Park,IsLevel,30,0,0,0
1,qm,blue,7704,6526,7321,11,11,0,0,None,None,None,0,0,0,0,11,6,6,0,0,0,0,0,0,5,Park,None,None,IsLevel,0,0,2,0
2,qm,red,6655,3802,7749,38,38,10,10,Exited,Exited,None,0,0,0,0,13,3,0,1,0,0,0,0,0,10,Park,Park,None,IsLevel,15,0,0,0
2,qm,blue,5414,7319,6751,39,39,15,15,Exited,Exited,Exited,0,0,0,0,24,14,0,0,7,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
3,qm,red,7506,1745,7120,24,24,5,5,None,Exited,None,0,0,0,0,16,11,0,1,4,0,0,0,0,5,None,Park,None,IsLevel,3,1,0,0
3,qm,blue,7503,4192,6672,59,59,33,15,Exited,Exited,Exited,18,0,3,0,23,13,0,1,5,0,1,0,0,10,None,Park,Park,IsLevel,3,1,0,0
4,qm,red,7091,6369,6171,40,40,18,10,None,Exited,Exited,8,0,0,2,13,8,0,0,4,0,0,0,0,5,None,Park,None,IsLevel,9,0,0,0
4,qm,blue,3355,118,5682,104,104,30,10,Exited,Exited,None,20,0,2,2,74,34,0,4,11,0,1,0,0,40,None,Hang,None,IsLevel,0,3,0,0
5,qm,red,8055,3282,3370,48,48,28,10,Exited,Exited,None,18,0,3,0,20,10,0,0,5,0,0,0,0,10,Park,Park,None,IsLevel,0,0,1,0
5,qm,blue,6526,5431,5212,103,103,15,15,Exited,Exited,Exited,0,0,0,0,73,38,0,4,13,0,1,0,0,35,Park,Hang,Park,NotLevel,15,0,0,0
6,qm,red,6171,5682,148,140,140,35,15,Exited,Exited,Exited,20,0,0,5,105,55,0,1,26,0,1,0,0,50,Park,Park,Hang,IsLevel,0,0,0,0
6,qm,blue,7503,7091,7749,26,26,10,10,Exited,None,Exited,0,0,0,0,16,6,0,0,3,0,0,0,0,10,Park,None,Park,IsLevel,0,0,0,0
7,qm,red,6655,7704,3370,15,15,10,10,Exited,Exited,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,0,2,0
7,qm,blue,6751,7119,4192,66,66,21,15,Exited,Exited,Exited,6,3,0,0,15,10,2,0,4,0,1,0,0,5,Park,None,None,IsLevel,30,0,0,0
8,qm,red,7506,118,7321,20,20,5,5,Exited,None,None,0,0,0,0,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
8,qm,blue,5212,3355,1745,48,48,35,15,Exited,Exited,Exited,20,0,0,5,13,8,0,0,4,0,1,0,0,5,None,None,Park,IsLevel,0,0,0,0
9,qm,red,6672,8055,5431,104,104,45,15,Exited,Exited,Exited,30,0,3,3,56,26,0,0,13,0,1,0,0,30,None,Park,Hang,NotLevel,3,0,0,0
9,qm,blue,3802,6369,7319,53,53,27,15,Exited,Exited,Exited,12,0,0,3,26,16,0,0,8,0,1,0,0,10,Park,Park,None,IsLevel,0,1,0,0
10,qm,red,5414,7120,3355,26,26,13,5,None,Exited,None,8,0,0,2,7,2,2,0,0,0,0,0,0,5,Park,None,None,NotLevel,6,0,0,0
10,qm,blue,7535,3282,6526,6,6,5,5,None,Exited,None,0,0,0,0,1,1,1,0,0,0,0,0,0,0,None,None,None,IsLevel,0,2,0,0
11,qm,red,6655,5431,6369,78,78,29,15,Exited,Exited,Exited,14,0,1,2,34,24,0,0,12,0,1,0,0,10,None,Park,Park,NotLevel,15,0,0,0
11,qm,blue,118,7119,8055,51,51,26,10,None,Exited,Exited,16,1,1,2,25,15,0,1,6,0,1,0,0,10,None,Park,Park,NotLevel,0,0,1,0
12,qm,red,6672,5682,7535,61,61,19,5,Exited,None,None,14,0,1,2,27,22,0,2,8,0,1,0,0,5,Park,None,None,IsLevel,15,1,0,0
12,qm,blue,7091,3802,4192,40,40,22,10,None,Exited,Exited,12,0,0,3,15,5,0,1,1,0,0,0,0,10,None,Park,Park,IsLevel,3,0,1,0
13,qm,red,7704,7319,3282,46,46,15,15,Exited,Exited,Exited,0,0,0,0,31,16,5,1,4,0,1,0,0,15,Park,Park,Park,NotLevel,0,1,1,0
13,qm,blue,1745,6171,7503,83,83,23,15,Exited,Exited,Exited,8,0,0,2,42,2,0,0,1,0,0,0,0,40,Hang,None,None,IsLevel,18,0,0,0
14,qm,red,3370,7749,7506,17,17,10,10,None,Exited,Exited,0,0,0,0,7,2,0,0,1,0,0,0,0,5,None,Park,None,IsLevel,0,0,2,0
14,qm,blue,7120,5212,6751,56,56,15,15,Exited,Exited,Exited,0,0,0,0,11,1,1,0,0,0,0,0,0,10,Park,None,Park,IsLevel,30,0,0,0
15,qm,red,5682,7321,3282,38,38,10,10,Exited,None,Exited,0,0,0,0,10,0,0,0,0,0,0,0,0,10,None,Park,Park,IsLevel,18,0,2,0
15,qm,blue,5414,148,8055,208,208,72,10,None,Exited,Exited,62,0,3,11,106,41,0,1,19,0,1,0,0,65,Hang,Hang,None,IsLevel,30,1,1,0
16,qm,red,5212,7119,7503,35,35,10,10,Exited,None,Exited,0,0,0,0,10,5,2,1,0,0,0,0,0,5,None,Park,None,IsLevel,15,1,1,0
16,qm,blue,7749,6672,6751,74,74,31,15,Exited,Exited,Exited,16,0,2,1,25,15,0,3,3,0,1,0,0,10,None,Park,Park,IsLevel,18,0,1,0
17,qm,red,7704,6526,3802,62,62,23,15,Exited,Exited,Exited,8,0,0,2,39,29,4,1,11,0,1,0,0,10,Park,None,Park,IsLevel,0,0,0,0
17,qm,blue,7506,118,6171,126,126,41,15,Exited,Exited,Exited,26,0,1,5,85,55,0,9,14,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
18,qm,red,7319,7120,3370,33,33,10,10,Exited,Exited,None,0,0,0,0,23,13,4,1,3,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
18,qm,blue,5431,1745,7535,123,123,37,15,Exited,Exited,Exited,22,0,1,4,71,26,0,2,10,0,1,0,0,45,Hang,Park,None,IsLevel,15,0,0,0
19,qm,red,4192,7321,7091,34,34,5,5,Exited,None,None,0,0,0,0,23,13,0,1,5,0,0,0,0,10,Park,Park,None,IsLevel,6,0,1,0
19,qm,blue,3355,148,6655,109,109,18,10,None,Exited,Exited,8,0,0,2,76,31,0,1,14,0,1,0,0,45,None,Hang,Park,IsLevel,15,2,0,0
20,qm,red,5414,1745,6526,69,69,33,5,None,Exited,None,28,0,2,4,36,6,0,0,3,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
20,qm,blue,6751,7704,6369,36,36,15,15,Exited,Exited,Exited,0,0,0,0,21,11,11,0,0,0,1,0,0,10,Park,None,Park,IsLevel,0,0,0,0
21,qm,red,4192,5212,8055,88,88,33,15,Exited,Exited,Exited,18,0,3,0,25,20,0,0,10,0,1,0,0,5,Park,None,None,NotLevel,30,0,1,0
21,qm,blue,5431,6171,7119,102,102,35,15,Exited,Exited,Exited,20,3,1,2,52,37,0,1,17,0,1,0,0,15,Park,Park,Park,NotLevel,15,0,2,0
22,qm,red,7120,6369,7749,10,10,10,10,Exited,None,Exited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,0,1,0
22,qm,blue,3355,7535,3370,29,29,5,5,Exited,None,None,0,0,0,0,9,4,0,0,2,0,0,0,0,5,Park,None,None,IsLevel,15,0,0,0
23,qm,red,118,3802,3282,151,151,53,15,Exited,Exited,Exited,38,0,1,8,80,70,0,6,26,0,1,0,0,10,None,Park,Park,IsLevel,18,0,0,0
23,qm,blue,5682,6672,7319,92,92,29,15,Exited,Exited,Exited,14,0,1,2,63,18,0,2,6,0,1,0,0,45,None,Hang,Park,IsLevel,0,1,1,0
24,qm,red,148,7503,7091,149,149,34,10,Exited,Exited,None,24,0,0,6,94,49,0,3,20,0,1,0,0,45,Hang,Park,None,IsLevel,21,0,0,0
24,qm,blue,6655,5414,7506,72,72,23,15,Exited,Exited,Exited,8,0,0,2,49,4,0,0,2,0,0,0,0,45,None,Hang,Park,IsLevel,0,2,1,0
25,qm,red,7321,8055,6171,99,99,26,10,None,Exited,Exited,16,0,0,4,70,40,0,2,17,0,1,0,0,30,Park,Hang,None,NotLevel,3,1,1,0
25,qm,blue,3370,7120,3802,78,78,30,10,None,Exited,Exited,20,0,0,5,30,20,0,0,10,0,1,0,0,10,Park,None,Park,IsLevel,18,1,0,0
26,qm,red,3282,7503,5431,91,91,27,15,Exited,Exited,Exited,12,0,0,3,64,39,0,1,18,0,1,0,0,25,None,None,Hang,NotLevel,0,0,0,0
26,qm,blue,7535,7091,7319,16,16,5,5,None,None,Exited,0,0,0,0,11,6,0,0,3,0,0,0,0,5,None,None,Park,IsLevel,0,0,0,0
27,qm,red,7704,5212,6672,58,58,33,15,Exited,Exited,Exited,18,0,3,0,25,10,0,0,5,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
27,qm,blue,7321,5414,6369,75,75,19,5,None,Exited,None,14,0,1,2,56,16,0,0,8,0,1,0,0,40,None,Hang,None,IsLevel,0,0,0,0
28,qm,red,1745,118,4192,86,86,41,15,Exited,Exited,Exited,26,0,3,2,45,40,0,6,11,0,1,0,0,5,Park,None,None,IsLevel,0,4,2,0
28,qm,blue,7506,6751,148,185,185,45,15,Exited,Exited,Exited,30,3,0,6,98,48,1,1,22,0,1,0,0,50,Park,Park,Hang,IsLevel,42,0,0,0
29,qm,red,6526,6655,7119,30,30,16,10,None,Exited,Exited,6,3,0,0,11,1,1,0,0,0,0,0,0,10,Park,Park,None,IsLevel,3,1,0,0
29,qm,blue,7749,3355,5682,32,32,19,15,Exited,Exited,Exited,4,0,0,1,10,0,0,0,0,0,0,0,0,10,Park,Park,None,IsLevel,3,1,0,0
30,qm,red,7091,6672,5414,124,124,34,10,None,Exited,Exited,24,0,2,3,90,25,0,1,11,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,0,0
30,qm,blue,5431,7704,7120,98,98,31,15,Exited,Exited,Exited,16,0,2,1,67,22,0,2,8,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
31,qm,red,4192,7506,7535,45,45,10,10,Exited,Exited,None,0,0,0,0,35,20,0,2,7,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
31,qm,blue,8055,6655,118,182,182,58,10,Exited,None,Exited,48,0,6,3,124,59,0,5,22,0,1,0,0,65,Hang,None,Hang,IsLevel,0,0,0,0
32,qm,red,7503,3355,6526,24,24,5,5,Exited,None,None,0,0,0,0,19,4,2,0,1,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
32,qm,blue,7319,7749,7321,46,46,10,10,Exited,Exited,None,0,0,0,0,36,6,0,0,3,0,0,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
33,qm,red,3802,5682,5212,71,71,27,15,Exited,Exited,Exited,12,0,0,3,26,16,0,0,8,0,1,0,0,10,Park,Park,None,IsLevel,18,0,1,0
33,qm,blue,148,3370,1745,149,149,42,10,Exited,None,Exited,32,0,2,5,92,47,0,5,16,0,1,0,0,45,Hang,None,Park,IsLevel,15,1,1,0
34,qm,red,6369,6171,6751,63,63,31,15,Exited,Exited,Exited,16,2,0,3,26,16,4,0,6,0,1,0,0,10,None,Park,Park,NotLevel,6,0,1,0
34,qm,blue,7119,3282,7506,61,61,21,15,Exited,Exited,Exited,6,3,0,0,25,10,0,0,5,0,0,0,0,15,Park,Park,Park,IsLevel,15,2,0,0
35,qm,red,7749,4192,5431,89,89,15,15,Exited,Exited,Exited,0,0,0,0,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,60,3,0,0
