match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,1793,1610,617,60,60,17,5,None,Exited,None,12,0,0,3,40,35,0,1,16,0,1,0,0,5,None,Park,None,IsLevel,3,0,0,0
1,qm,blue,1262,384,1086,106,106,55,15,Exited,Exited,Exited,40,0,0,10,51,46,0,4,17,0,1,0,0,5,None,Park,None,IsLevel,0,1,0,0
2,qm,red,1895,1522,122,67,67,22,10,Exited,Exited,None,12,0,0,3,42,12,0,0,6,0,1,0,0,30,Hang,None,Park,NotLevel,3,0,1,0
2,qm,blue,1413,2106,3136,75,75,26,10,None,Exited,Exited,16,0,0,4,34,24,0,0,12,0,1,0,0,10,Park,None,Park,IsLevel,15,1,0,0
3,qm,red,3361,7429,1599,61,61,18,10,Exited,None,Exited,8,0,0,2,40,5,0,1,1,0,0,0,0,35,Park,Park,Hang,NotLevel,3,0,1,0
3,qm,blue,2890,4286,1908,48,48,17,5,None,Exited,None,12,0,0,3,16,1,1,0,0,0,0,0,0,15,Park,Park,Park,NotLevel,15,1,0,0
4,qm,red,1123,5279,2998,56,56,28,10,Exited,None,Exited,18,0,1,3,28,18,4,0,7,0,1,0,0,10,Park,None,Park,NotLevel,0,1,1,0
4,qm,blue,6334,977,5957,80,80,39,15,Exited,Exited,Exited,24,0,2,3,23,13,0,1,5,0,1,0,0,10,None,Park,Park,NotLevel,18,0,0,0
5,qm,red,5804,422,1598,95,95,15,15,Exited,Exited,Exited,0,0,0,0,80,40,0,2,17,0,1,0,0,40,Hang,None,None,IsLevel,0,0,0,0
5,qm,blue,6189,2028,6802,55,55,36,10,None,Exited,Exited,26,0,3,2,19,9,0,1,3,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
6,qm,red,5954,619,401,86,86,15,15,Exited,Exited,Exited,0,0,0,0,71,16,0,2,5,0,0,0,0,55,Park,Hang,Hang,NotLevel,0,0,0,0
6,qm,blue,540,6021,346,9,9,5,5,Exited,None,None,0,0,0,0,4,4,0,0,2,0,0,0,0,0,None,None,None,IsLevel,0,0,0,0
7,qm,red,1610,4286,122,93,93,22,10,Exited,Exited,None,12,2,0,2,50,20,0,2,7,0,1,0,0,30,Hang,None,Park,NotLevel,21,0,0,0
7,qm,blue,2998,1793,1413,24,24,19,5,Exited,None,None,14,0,1,2,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,2,1,0
8,qm,red,5957,3361,3136,40,40,22,10,None,Exited,Exited,12,0,0,3,18,8,0,0,4,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
8,qm,blue,6334,1262,1598,22,22,17,5,None,Exited,None,12,0,2,0,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
9,qm,red,977,1086,2028,133,133,45,15,Exited,Exited,Exited,30,0,1,6,76,41,0,5,13,0,1,0,0,35,Hang,Park,Park,NotLevel,12,0,0,0
9,qm,blue,7429,346,384,78,78,46,10,Exited,Exited,None,36,0,2,6,32,2,0,0,1,0,1,0,0,30,Hang,None,Park,NotLevel,0,4,0,0
10,qm,red,540,6802,2890,72,72,22,10,Exited,Exited,None,12,0,0,3,50,40,0,0,20,0,1,0,0,10,Park,None,Park,IsLevel,0,0,1,0
10,qm,blue,5804,5279,5954,72,72,15,15,Exited,Exited,Exited,0,0,0,0,42,12,2,0,5,0,0,0,0,30,Hang,None,Park,NotLevel,15,0,0,0
11,qm,red,1908,1895,6189,140,140,25,5,None,Exited,None,20,0,0,5,85,20,0,0,10,0,1,0,0,65,Hang,Hang,None,IsLevel,30,1,0,0
11,qm,blue,401,1123,1522,73,73,14,10,Exited,Exited,None,4,0,0,1,56,6,4,0,1,0,0,0,0,50,Hang,None,Hang,NotLevel,3,0,2,0
12,qm,red,6021,422,1599,30,30,22,10,None,Exited,Exited,12,0,0,3,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,3,0,1,0
12,qm,blue,617,619,2106,75,75,14,10,None,Exited,Exited,4,0,0,1,46,16,0,0,8,0,1,0,0,30,None,Park,Hang,NotLevel,15,1,0,0
13,qm,red,7429,1262,2028,117,117,41,15,Exited,Exited,Exited,26,0,1,5,76,26,0,4,7,0,1,0,0,50,Park,Hang,Park,IsLevel,0,1,1,0
13,qm,blue,2890,2998,1598,113,113,17,5,None,Exited,None,12,0,0,3,78,28,0,2,11,0,1,0,0,50,Park,Hang,Park,IsLevel,18,0,0,0
14,qm,red,401,122,3361,38,38,15,15,Exited,Exited,Exited,0,0,0,0,20,10,0,0,5,0,0,0,0,10,Park,Park,None,NotLevel,3,0,1,0
14,qm,blue,1610,1522,5954,71,71,23,15,Exited,Exited,Exited,8,0,0,2,33,8,4,0,2,0,0,0,0,25,None,Hang,None,NotLevel,15,1,0,0
15,qm,red,422,346,5957,39,39,14,10,Exited,None,Exited,4,0,0,1,19,9,0,1,3,0,0,0,0,10,Park,None,Park,IsLevel,6,0,1,0
15,qm,blue,1908,1123,2106,79,79,39,15,Exited,Exited,Exited,24,0,2,3,25,10,0,0,5,0,1,0,0,15,Park,Park,Park,NotLevel,15,2,0,0
16,qm,red,617,5279,384,46,46,18,10,None,Exited,Exited,8,0,0,2,28,18,0,0,9,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
16,qm,blue,1413,6189,619,51,51,15,15,Exited,Exited,Exited,0,0,0,0,36,6,0,0,3,0,0,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
17,qm,red,1599,6334,3136,133,133,51,15,Exited,Exited,Exited,36,0,2,6,52,17,0,1,7,0,1,0,0,35,Hang,Park,Park,NotLevel,30,0,0,0
17,qm,blue,1793,5804,6802,99,99,19,15,Exited,Exited,Exited,4,0,0,1,80,30,0,0,15,0,1,0,0,50,None,Hang,Hang,NotLevel,0,0,2,0
18,qm,red,1895,1086,540,67,67,27,15,Exited,Exited,Exited,12,0,0,3,40,30,0,0,15,0,1,0,0,10,Park,Park,None,IsLevel,0,0,0,0
18,qm,blue,977,6021,4286,62,62,24,10,Exited,None,Exited,14,0,1,2,38,8,4,0,2,0,1,0,0,30,Park,None,Hang,NotLevel,0,0,0,0
19,qm,red,1413,2890,5957,66,66,10,10,Exited,None,Exited,0,0,0,0,53,18,0,2,6,0,0,0,0,35,Hang,Park,Park,NotLevel,3,0,1,0
19,qm,blue,1262,346,1908,61,61,20,10,Exited,None,Exited,10,0,1,1,26,16,0,2,5,0,1,0,0,10,Park,None,Park,NotLevel,15,1,0,0
20,qm,red,1598,5954,122,23,23,15,15,Exited,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,Park,None,None,IsLevel,3,1,0,0
20,qm,blue,384,5804,1522,99,99,14,10,Exited,Exited,None,4,0,0,1,82,17,0,1,7,0,1,0,0,65,Hang,Hang,None,IsLevel,3,1,0,0
21,qm,red,3361,617,6189,26,26,10,10,Exited,None,Exited,0,0,0,0,16,6,0,0,3,0,0,0,0,10,Park,None,Park,IsLevel,0,2,1,0
21,qm,blue,977,401,6802,175,175,38,10,Exited,Exited,None,28,0,0,7,116,26,0,0,13,0,1,0,0,90,Hang,Hang,Hang,IsLevel,21,0,0,0
22,qm,red,2106,1895,6021,72,72,24,10,Exited,Exited,None,14,0,1,2,48,18,0,0,9,0,1,0,0,30,Park,Hang,None,NotLevel,0,1,0,0
22,qm,blue,422,3136,2998,99,99,19,15,Exited,Exited,Exited,4,0,0,1,77,22,1,1,9,0,1,0,0,55,Park,Hang,Hang,NotLevel,3,0,0,0
23,qm,red,619,540,6334,77,77,41,15,Exited,Exited,Exited,26,0,1,5,36,21,0,1,9,0,1,0,0,15,Park,Park,Park,IsLevel,0,3,0,0
23,qm,blue,7429,1793,1086,148,148,29,15,Exited,Exited,Exited,14,0,1,2,110,45,1,6,13,0,1,0,0,65,Hang,None,Hang,IsLevel,9,0,0,0
24,qm,red,4286,5279,2028,95,95,43,15,Exited,Exited,Exited,28,2,0,6,52,7,1,0,3,0,1,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
24,qm,blue,1599,1123,1610,72,72,25,15,Exited,Exited,Exited,10,0,1,1,47,32,0,2,13,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
25,qm,red,1895,384,5954,87,87,22,10,Exited,None,Exited,12,0,0,3,65,20,2,0,9,0,1,0,0,45,Hang,None,Park,IsLevel,0,0,0,0
25,qm,blue,1262,5957,2106,116,116,27,15,Exited,Exited,Exited,12,1,1,1,89,39,0,5,12,0,1,0,0,50,Hang,Park,Park,IsLevel,0,0,0,0
26,qm,red,3136,346,619,63,63,20,10,Exited,None,Exited,10,0,1,1,43,13,1,0,6,0,1,0,0,30,Hang,None,Park,NotLevel,0,1,1,0
26,qm,blue,6802,122,1086,109,109,31,15,Exited,Exited,Exited,16,0,0,4,60,30,0,6,6,0,1,0,0,30,Hang,Park,None,NotLevel,18,0,0,0
27,qm,red,1413,1599,5804,105,105,19,15,Exited,Exited,Exited,4,0,0,1,86,31,0,1,14,0,1,0,0,55,Hang,Park,Hang,NotLevel,0,0,0,0
27,qm,blue,1522,6189,5279,65,65,17,15,Exited,Exited,Exited,2,1,0,0,48,3,3,0,0,0,0,0,0,45,Park,None,Hang,IsLevel,0,0,0,0
28,qm,red,401,1908,422,100,100,23,15,Exited,Exited,Exited,8,0,0,2,77,12,0,0,6,0,0,0,0,65,Hang,Hang,None,IsLevel,0,0,1,0
28,qm,blue,2998,1610,6334,135,135,49,15,Exited,Exited,Exited,34,0,3,4,71,41,0,1,19,0,1,0,0,30,None,Hang,Park,NotLevel,15,0,0,0
29,qm,red,1793,1598,977,71,71,27,15,Exited,Exited,Exited,12,0,0,3,44,14,0,0,7,0,1,0,0,30,Park,None,Hang,NotLevel,0,4,1,0
29,qm,blue,2890,7429,6021,62,62,22,10,Exited,Exited,None,12,0,0,3,13,8,0,0,4,0,0,0,0,5,Park,None,None,IsLevel,27,0,0,0
30,qm,red,2028,540,617,71,71,18,10,Exited,Exited,None,8,0,0,2,32,27,0,3,9,0,1,0,0,5,Park,None,None,IsLevel,21,0,2,0
30,qm,blue,4286,3361,1123,91,91,15,15,Exited,Exited,Exited,0,0,0,0,46,11,7,0,2,0,1,0,0,35,Hang,Park,Park,NotLevel,30,2,1,0
31,qm,red,6802,384,2998,67,67,19,5,None,None,Exited,14,0,1,2,48,38,0,2,16,0,1,0,0,10,Park,None,Park,NotLevel,0,2,0,0
31,qm,blue,346,1895,6334,111,111,38,10,None,Exited,Exited,28,0,0,7,67,17,0,1,7,0,1,0,0,50,Park,Hang,Park,IsLevel,6,0,0,0
32,qm,red,1610,1262,6189,145,145,33,15,Exited,Exited,Exited,18,0,1,3,97,47,0,1,22,0,1,0,0,50,Park,Hang,Park,IsLevel,15,0,0,0
32,qm,blue,3136,6021,5954,55,55,15,15,Exited,Exited,Exited,0,0,0,0,40,10,6,0,2,0,0,0,0,30,Hang,Park,None,NotLevel,0,0,1,0
33,qm,red,540,1599,401,107,107,23,15,Exited,Exited,Exited,8,0,0,2,69,34,0,2,14,0,1,0,0,35,Park,Hang,Park,NotLevel,15,0,0,0
33,qm,blue,122,422,2890,47,47,15,15,Exited,Exited,Exited,0,0,0,0,32,27,0,1,12,0,1,0,0,5,Park,None,None,IsLevel,0,0,1,0
34,qm,red,977,2106,5279,162,162,57,15,Exited,Exited,Exited,42,0,3,6,42,7,0,1,2,0,1,0,0,35,Park,Hang,Park,NotLevel,63,0,0,0
34,qm,blue,1908,2028,1793,60,60,30,10,None,Exited,Exited,20,0,0,5,30,15,0,3,3,0,1,0,0,15,Park,Park,Park,IsLevel,0,1,4,0
35,qm,red,1598,4286,619,80,80,37,15,Exited,Exited,Exited,22,3,2,1,40,5,0,1,1,0,0,0,0,35,Park,Park,Hang,NotLevel,3,0,0,0
35,qm,blue,1086,3361,1522,95,95,21,15,Exited,Exited,Exited,6,3,0,0,74,19,1,2,6,0,1,0,0,55,Hang,Park,Hang,NotLevel,0,1,0,0
36,qm,red,7429,1413,1123,48,48,14,10,None,Exited,Exited,4,2,0,0,34,4,2,0,1,0,0,0,0,30,None,Hang,Park,NotLevel,0,1,0,0
36,qm,blue,617,5957,5804,87,87,14,10,None,Exited,Exited,4,0,0,1,70,20,0,0,10,0,1,0,0,50,Park,Park,Hang,IsLevel,3,0,0,0
37,qm,red,2028,2998,122,67,67,31,15,Exited,Exited,Exited,16,0,0,4,36,26,0,2,10,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
37,qm,blue,3136,540,6189,62,62,27,15,Exited,Exited,Exited,12,0,0,3,35,25,0,3,8,0,1,0,0,10,Park,Park,None,NotLevel,0,0,0,0
38,qm,red,346,2890,977,88,88,26,10,None,Exited,Exited,16,0,0,4,47,17,0,1,7,0,1,0,0,30,None,Park,Hang,NotLevel,15,0,0,0
38,qm,blue,4286,6334,422,79,79,43,15,Exited,Exited,Exited,28,0,2,4,36,11,3,0,4,0,1,0,0,25,Hang,None,None,NotLevel,0,0,1,0
39,qm,red,5279,1413,1262,116,116,30,10,None,Exited,Exited,20,0,0,5,50,20,0,0,10,0,1,0,0,30,None,Hang,Park,NotLevel,36,0,4,0
39,qm,blue,5954,3361,1908,104,104,27,15,Exited,Exited,Exited,12,0,0,3,17,12,4,0,4,0,1,0,0,5,None,Park,None,IsLevel,60,2,2,0
40,qm,red,1599,1086,617,124,124,18,10,Exited,Exited,None,8,0,0,2,106,56,0,10,13,0,1,0,0,50,Hang,None,Hang,NotLevel,0,0,1,0
40,qm,blue,5957,1598,1895,63,63,29,15,Exited,Exited,Exited,14,0,1,2,19,9,0,1,3,0,0,0,0,10,Park,None,Park,IsLevel,15,0,0,0
41,qm,red,6021,6802,1522,20,20,10,10,Exited,None,Exited,0,0,0,0,10,5,5,0,0,0,0,0,0,5,None,None,Park,IsLevel,0,0,5,0
41,qm,blue,1123,384,1793,130,130,39,15,Exited,Exited,Exited,24,0,0,6,16,6,0,0,3,0,1,0,0,10,Park,None,Park,NotLevel,75,0,0,0
42,qm,red,2106,401,5804,194,194,37,15,Exited,Exited,Exited,22,0,3,1,124,34,0,2,14,0,1,0,0,90,Hang,Hang,Hang,IsLevel,33,0,0,0
42,qm,blue,1610,619,7429,78,78,36,10,Exited,Exited,None,26,0,1,5,42,32,0,0,16,0,1,0,0,10,Park,Park,None,IsLevel,0,1,2,0
43,qm,red,6334,1086,1908,125,125,53,15,Exited,Exited,Exited,38,0,1,8,51,41,0,3,16,0,1,0,0,10,Park,None,Park,IsLevel,21,0,0,0
