match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,4911,5920,3712,150,150,21,15,Exited,Exited,Exited,6,3,0,0,114,64,14,4,19,0,1,0,0,50,Hang,Hang,None,NotLevel,15,1,1,0
1,qm,blue,4125,3711,2147,125,125,35,15,Exited,Exited,Exited,20,0,0,5,72,17,0,1,7,0,1,0,0,55,Park,Hang,Hang,NotLevel,18,0,1,0
2,qm,red,2605,1595,4980,35,35,15,5,None,Exited,None,10,0,1,1,20,15,3,0,6,0,1,0,0,5,None,None,Park,IsLevel,0,2,0,0
2,qm,blue,2944,2910,6076,139,139,31,15,Exited,Exited,Exited,16,0,0,4,102,57,0,13,9,0,1,0,0,45,Park,Hang,None,IsLevel,6,0,0,0
3,qm,red,3693,6442,3663,53,53,9,5,None,None,Exited,4,0,0,1,44,29,3,2,10,0,1,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
3,qm,blue,4513,4692,4104,69,69,9,5,None,Exited,None,4,0,0,1,60,15,0,1,6,0,0,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
4,qm,red,4089,4060,6443,106,106,22,10,Exited,None,Exited,12,0,0,3,54,29,0,1,13,0,1,0,0,25,Hang,None,None,NotLevel,30,0,0,0
4,qm,blue,3876,2811,4061,68,68,28,10,None,Exited,Exited,18,3,0,3,40,30,5,1,11,0,1,0,0,10,Park,None,Park,IsLevel,0,0,2,0
5,qm,red,4980,4104,6076,25,25,10,10,Exited,None,Exited,0,0,0,0,15,5,3,0,1,0,0,0,0,10,Park,None,Park,IsLevel,0,0,1,0
5,qm,blue,5920,2605,3711,129,129,28,10,Exited,None,Exited,18,1,0,4,86,36,16,0,10,0,1,0,0,50,Hang,None,Hang,NotLevel,15,0,0,0
6,qm,red,2910,4089,3876,173,173,50,10,Exited,Exited,None,40,0,2,7,123,58,0,4,23,0,1,0,0,65,Hang,Hang,None,IsLevel,0,0,0,0
6,qm,blue,2811,3712,6442,17,17,5,5,None,Exited,None,0,0,0,0,12,2,0,0,1,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
7,qm,red,3663,6443,4911,178,178,22,10,None,Exited,Exited,12,0,0,3,156,91,0,13,26,0,1,0,0,65,Hang,None,Hang,IsLevel,0,0,0,0
7,qm,blue,4692,2944,4125,38,38,15,15,Exited,Exited,Exited,0,0,0,0,23,8,0,0,4,0,0,0,0,15,Park,Park,Park,IsLevel,0,0,0,0
8,qm,red,2147,4060,4061,74,74,15,15,Exited,Exited,Exited,0,0,0,0,59,14,0,2,4,0,0,0,0,45,Hang,Park,None,IsLevel,0,0,0,0
8,qm,blue,1595,4513,3693,81,81,18,10,Exited,Exited,None,8,0,0,2,63,18,7,1,4,0,1,0,0,45,None,Hang,Park,IsLevel,0,0,0,0
9,qm,red,6442,4089,3711,110,110,39,15,Exited,Exited,Exited,24,0,0,6,71,6,0,0,3,0,1,0,0,65,None,Hang,Hang,IsLevel,0,2,0,0
9,qm,blue,4911,2605,4692,74,74,18,10,Exited,None,Exited,8,0,0,2,50,20,0,0,10,0,1,0,0,30,Park,None,Hang,NotLevel,6,0,0,0
