match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,7831,7830,7285,142,142,34,10,Exited,Exited,None,24,0,0,6,66,11,0,1,4,0,1,0,0,55,Park,Hang,Hang,NotLevel,42,0,0,0
1,qm,blue,7439,8040,8215,30,30,0,0,None,None,None,0,0,0,0,30,0,0,0,0,0,0,0,0,30,Hang,None,Park,NotLevel,0,4,2,0
2,qm,red,7549,8092,7296,96,96,16,0,None,None,None,16,2,0,3,38,8,4,0,2,0,1,0,0,30,None,Park,Hang,NotLevel,42,0,0,0
2,qm,blue,8141,7569,7851,10,10,5,5,None,None,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,0,4,2,0
3,qm,red,6232,7828,8158,69,69,15,15,Exited,Exited,Exited,0,0,0,0,21,6,6,0,0,0,0,0,0,15,Park,Park,Park,NotLevel,33,1,2,0
3,qm,blue,6431,7465,8042,62,62,10,10,Exited,Exited,None,0,0,0,0,19,4,0,0,2,0,0,0,0,15,Park,Park,Park,NotLevel,33,1,2,0
4,qm,red,8079,7201,8308,83,83,17,5,Exited,None,None,12,0,0,3,60,10,0,0,5,0,0,0,0,50,Hang,Park,Park,IsLevel,6,0,3,0
4,qm,blue,7298,8200,7228,55,55,5,5,None,Exited,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,45,2,0,0
5,qm,red,8182,8034,8245,25,25,10,10,None,Exited,Exited,0,0,0,0,15,0,0,0,0,0,0,0,0,15,Park,Park,Park,IsLevel,0,5,0,0
5,qm,blue,3646,8127,6459,50,50,18,10,Exited,None,Exited,8,0,0,2,17,2,0,0,1,0,0,0,0,15,Park,Park,Park,IsLevel,15,0,0,0
6,qm,red,6417,7536,7841,48,48,26,10,Exited,Exited,None,16,0,0,4,22,12,0,0,6,0,1,0,0,10,Park,Park,None,NotLevel,0,1,0,0
6,qm,blue,8240,5773,6838,40,40,14,10,Exited,None,Exited,4,0,0,1,23,8,0,0,4,0,0,0,0,15,Park,Park,Park,IsLevel,3,0,0,0
